"","pathway","pval","padj","log2err","ES","NES","size"
"1","HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.01570738871795e-16,5.03926847179489e-15,1.04762648849882,0.627451087909276,2.34747368131756,174
"2","HALLMARK_MYC_TARGETS_V1",1.71505881429788e-14,1.82859757082501e-13,0.97599468306432,0.626835026965809,2.34199724375387,164
"3","HALLMARK_DNA_REPAIR",1.82859757082501e-14,1.82859757082501e-13,0.97599468306432,0.642492328275019,2.33144102368115,135
"4","HALLMARK_HEME_METABOLISM",6.45062750000077e-06,2.68776145833366e-05,0.610526878385931,0.48181513139804,1.7994602867884,161
"5","HALLMARK_E2F_TARGETS",0.00343099255880436,0.00745867947566166,0.431707695803346,0.399423758663305,1.49354772367128,172
"6","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0245578219946415,0.0454774481382249,0.352487857583619,-0.318214383084927,-1.31854822537494,158
"7","HALLMARK_MYOGENESIS",0.0271076039402885,0.0467372481729112,0.352487857583619,-0.328126613799983,-1.34972421125233,144
"8","HALLMARK_P53_PATHWAY",0.00399378702820841,0.00832038964210085,0.407017918923954,-0.340576251950843,-1.42015583546256,167
"9","HALLMARK_COMPLEMENT",0.00685378533833402,0.013707570676668,0.407017918923954,-0.354197833858484,-1.44538997230703,142
"10","HALLMARK_APICAL_JUNCTION",0.00101265741662256,0.00266488793848042,0.45505986738723,-0.367328797132039,-1.51369824634849,151
"11","HALLMARK_HEDGEHOG_SIGNALING",0.0266451923948754,0.0467372481729112,0.352487857583619,-0.491596085478767,-1.54973618257814,31
"12","HALLMARK_ANGIOGENESIS",0.0245420027304252,0.0454774481382249,0.352487857583619,-0.502864339601138,-1.57594982474176,29
"13","HALLMARK_MITOTIC_SPINDLE",0.000134504816333211,0.000480374344047182,0.518848077743792,-0.38172152391421,-1.61111282195186,179
"14","HALLMARK_ALLOGRAFT_REJECTION",0.000856347220025933,0.00237874227784981,0.477270815362862,-0.400246626997983,-1.61268433712777,124
"15","HALLMARK_ANDROGEN_RESPONSE",0.00262593884289279,0.00596804282475635,0.431707695803346,-0.434510372600191,-1.65059996085369,84
"16","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00120532922591256,0.00301332306478141,0.45505986738723,-0.461577829816812,-1.72351811888536,75
"17","HALLMARK_APOPTOSIS",0.000193912040421251,0.000646373468070837,0.518848077743792,-0.428020854408149,-1.72553712064988,126
"18","HALLMARK_TGF_BETA_SIGNALING",0.00138869911484284,0.00330642646391152,0.45505986738723,-0.509676294452286,-1.7321485349911,49
"19","HALLMARK_KRAS_SIGNALING_UP",7.96337889586425e-05,0.000306283803687087,0.538434096309916,-0.420506655799047,-1.73266907678456,147
"20","HALLMARK_ESTROGEN_RESPONSE_EARLY",5.37473253806103e-06,2.4430602445732e-05,0.610526878385931,-0.441203118379713,-1.82642023099685,157
"21","HALLMARK_IL2_STAT5_SIGNALING",1.78980463992891e-06,8.94902319964453e-06,0.643551836150722,-0.450475876139969,-1.86188679629769,155
"22","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.000471217922369438,0.00147255600740449,0.49849310876659,-0.596873127497025,-1.88844156261216,35
"23","HALLMARK_HYPOXIA",2.14862508340669e-07,1.19368060189261e-06,0.690132458796796,-0.458537838858022,-1.9196980956719,166
"24","HALLMARK_APICAL_SURFACE",0.000752227382649734,0.00221243347838157,0.477270815362862,-0.633230494832217,-1.96607866834188,28
"25","HALLMARK_INFLAMMATORY_RESPONSE",1.91706455143849e-07,1.19368060189261e-06,0.690132458796796,-0.518112833251322,-2.09281730666664,119
"26","HALLMARK_INTERFERON_GAMMA_RESPONSE",5.40400493751995e-09,4.50333744793329e-08,0.761460801445585,-0.520533871639479,-2.10550374288119,138
"27","HALLMARK_UV_RESPONSE_DN",2.64011369456571e-08,1.88579549611837e-07,0.73376198835648,-0.522050005672604,-2.10576477605432,130
"28","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.25952216174715e-15,3.76587026957858e-14,1.00731795687447,-0.602237519023402,-2.48171633574186,151
"29","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.23581802641262e-17,6.17909013206309e-16,1.0864405425825,-0.621340090842994,-2.57345799569077,154
