"","pathway","pval","padj","log2err","ES","NES","size"
"1","HALLMARK_KRAS_SIGNALING_DN",0.00237265175400284,0.00988604897501183,0.431707695803346,0.356283921620465,1.60815475146819,85
"2","HALLMARK_E2F_TARGETS",0.011177895589041,0.0343768494128382,0.380730400722792,0.265711796678495,1.3692262799892,172
"3","HALLMARK_MYC_TARGETS_V1",0.0116497925682973,0.0343768494128382,0.380730400722792,-0.335273257779306,-1.42000905480018,164
"4","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0136246539737804,0.0378462610382789,0.380730400722792,-0.34146136323253,-1.43836582778726,154
"5","HALLMARK_ANDROGEN_RESPONSE",0.011688128800365,0.0343768494128382,0.380730400722792,-0.388076993392379,-1.50064928861476,84
"6","HALLMARK_BILE_ACID_METABOLISM",0.00878177527663899,0.0313634831308535,0.380730400722792,-0.39307748291994,-1.51712630424513,83
"7","HALLMARK_DNA_REPAIR",0.00202189511416104,0.00919043233709564,0.431707695803346,-0.372390760688349,-1.54686306088832,135
"8","HALLMARK_MTORC1_SIGNALING",0.000126119012647682,0.000700661181376012,0.518848077743792,-0.387553118064926,-1.65510617744272,180
"9","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00336911250986784,0.0129581250379532,0.431707695803346,-0.484097548271129,-1.66529178907366,43
"10","HALLMARK_XENOBIOTIC_METABOLISM",7.62243458886893e-05,0.000544459613490638,0.538434096309916,-0.415517698946423,-1.72997477912144,141
"11","HALLMARK_PI3K_AKT_MTOR_SIGNALING",9.68083229218558e-05,0.000605052018261599,0.538434096309916,-0.45197316570005,-1.77530874297516,94
"12","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000549178292037489,0.00274589146018745,0.477270815362862,-0.482894697130808,-1.77733757377325,63
"13","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",8.79040258998555e-06,7.32533549165462e-05,0.593325476396405,-0.485635071829732,-1.90752959322116,94
"14","HALLMARK_ADIPOGENESIS",9.24807232447741e-10,1.5413453874129e-08,0.801215574617779,-0.489444647802248,-2.08528986028174,176
"15","HALLMARK_FATTY_ACID_METABOLISM",6.26163365548795e-09,7.82704206935994e-08,0.761460801445585,-0.507954850400251,-2.09087340191475,126
"16","HALLMARK_PEROXISOME",3.0018793919875e-07,3.0018793919875e-06,0.674962860011025,-0.551433406013182,-2.09764509608378,78
"17","HALLMARK_PROTEIN_SECRETION",3.66186521499964e-10,9.15466303749909e-09,0.814035837847908,-0.586701893952877,-2.28431940869147,88
"18","HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.80334663579721e-21,3.90167331789861e-19,1.1778932614942,-0.600261476045095,-2.55609677994285,174
