"","moduleColor","ModuleSize","F.O2","Pvalue.O2","Pvalue.O2corr"
"1","green",1052,2.89022504027072,0.108694803365495,0.260867528077189
"2","red",861,0.00487259698281109,0.945171648426279,0.963858891862493
"3","tan",43,0.0871025760702409,0.771797613475508,0.963858891862493
"4","magenta",210,0.360513554519373,0.555758957105101,0.952729640751602
"5","turquoise",5668,2.96799092839225,0.102043005493681,0.260867528077189
"6","black",416,4.36166961825727,0.0516387418669211,0.260492059893583
"7","blue",5619,3.88117513186259,0.0651230149733958,0.260492059893583
"8","yellow",1452,0.203783662525701,0.657167754949304,0.963858891862493
"9","pink",320,8.87192124862588,0.00917318516473641,0.110078221976837
"10","greenyellow",56,0.00211187552040984,0.963858891862493,0.963858891862493
"11","brown",3643,0.950695129556554,0.343998651423246,0.687997302846492
"12","purple",168,0.0481475665020726,0.828843668578624,0.963858891862493
