"","Gene","moduleColor"
"1","EI127_mgr02","black"
"2","EI127_mgr01","green"
"3","EI127_mgt02","red"
"4","EI127_mgt03","red"
"5","EI127_mgp13","green"
"6","EI127_mgt04","green"
"7","EI127_mgt05","green"
"8","EI127_mgt06","green"
"9","EI127_mgp12","green"
"10","EI127_mgt07","green"
"11","EI127_mgt08","green"
"12","EI127_mgt09","green"
"13","EI127_mgt10","green"
"14","EI127_mgt11","green"
"15","EI127_mgp11","green"
"16","EI127_mgt12","green"
"17","EI127_mgp10","green"
"18","EI127_mgt13","green"
"19","EI127_mgt14","green"
"20","EI127_mgp07","green"
"21","EI127_mgp09","green"
"22","EI127_mgp08","green"
"23","novel_gene_NC_039921.1_377","green"
"24","EI127_mgt15","green"
"25","EI127_mgp06","red"
"26","EI127_mgt16","green"
"27","EI127_mgp05","green"
"28","EI127_mgp04","green"
"29","EI127_mgt17","red"
"30","EI127_mgt18","red"
"31","EI127_mgt19","red"
"32","EI127_mgp03","green"
"33","EI127_mgp02","green"
"34","EI127_mgt20","green"
"35","EI127_mgp01","green"
"36","EI127_mgt21","green"
"37","EI127_mgt22","black"
"38","novel_gene_NC_039921.1_125","black"
"39","novel_gene_NC_056008.1_5","blue"
"40","LOC121821617","grey"
"41","LOC102925994","blue"
"42","LOC102925679","turquoise"
"43","LOC121821541","turquoise"
"44","novel_gene_NC_056008.1_142","turquoise"
"45","LOC102925362","grey"
"46","LOC102918165","blue"
"47","novel_gene_NC_056008.1_848","yellow"
"48","LOC102927417","brown"
"49","LOC102921144","grey"
"50","LOC102927115","yellow"
"51","LOC102911923","blue"
"52","novel_gene_NC_056008.1_859","turquoise"
"53","LOC102903073","green"
"54","novel_gene_NC_056008.1_909","grey"
"55","novel_gene_NC_056008.1_972","turquoise"
"56","LOC121822122","turquoise"
"57","LOC102904318","blue"
"58","novel_gene_NC_056008.1_1110","green"
"59","LOC121822734","turquoise"
"60","novel_gene_NC_056008.1_1096","green"
"61","LOC102903682","blue"
"62","novel_gene_NC_056008.1_1092","green"
"63","LOC102912105","brown"
"64","Ppp2r1a","brown"
"65","LOC121822046","blue"
"66","LOC102906476","turquoise"
"67","LOC102914612","turquoise"
"68","LOC102922548","grey"
"69","novel_gene_NC_056008.1_1334","green"
"70","LOC102922234","turquoise"
"71","LOC102922856","magenta"
"72","novel_gene_NC_056008.1_1621","black"
"73","LOC121822720","green"
"74","novel_gene_NC_056008.1_1658","blue"
"75","novel_gene_NC_056008.1_1660","black"
"76","novel_gene_NC_056008.1_1682","blue"
"77","novel_gene_NC_056008.1_1664","yellow"
"78","LOC121822138","black"
"79","LOC102912116","red"
"80","LOC121822805","turquoise"
"81","LOC102913068","red"
"82","LOC121822744","turquoise"
"83","LOC121822011","turquoise"
"84","novel_gene_NC_056008.1_1710","green"
"85","novel_gene_NC_056008.1_1718","green"
"86","Ppp4r2","blue"
"87","novel_gene_NC_056008.1_1724","blue"
"88","LOC102908513","blue"
"89","LOC102911376","turquoise"
"90","novel_gene_NC_056008.1_1769","turquoise"
"91","Nlrp12","turquoise"
"92","Myadm","brown"
"93","Prkcg","turquoise"
"94","Cacng7","brown"
"95","LOC107402623","brown"
"96","novel_gene_NC_056008.1_1849","turquoise"
"97","LOC102905587","brown"
"98","C1H18orf32","black"
"99","LOC102915140","turquoise"
"100","LOC102905460","turquoise"
"101","novel_gene_NC_056008.1_1928","turquoise"
"102","novel_gene_NC_056008.1_1926","turquoise"
"103","LOC102928301","turquoise"
"104","LOC102905242","red"
"105","novel_gene_NC_056008.1_2603","red"
"106","novel_gene_NC_056008.1_2554","black"
"107","novel_gene_NC_056008.1_2623","grey"
"108","LOC102906083","grey"
"109","LOC107399937","grey"
"110","LOC121820867","blue"
"111","LOC102923304","blue"
"112","LOC102922988","green"
"113","LOC102922047","red"
"114","LOC102906795","black"
"115","novel_gene_NC_056008.1_2651","black"
"116","novel_gene_NC_056008.1_2601","green"
"117","LOC102907920","turquoise"
"118","LOC102906488","green"
"119","LOC102907624","green"
"120","LOC102925029","blue"
"121","LOC102906185","grey"
"122","novel_gene_NC_056008.1_2584","turquoise"
"123","novel_gene_NC_056008.1_2611","blue"
"124","LOC102927894","turquoise"
"125","LOC102928484","turquoise"
"126","LOC102926692","turquoise"
"127","LOC102925654","green"
"128","LOC102926984","blue"
"129","LOC121820875","black"
"130","LOC102927285","grey"
"131","LOC102921854","turquoise"
"132","LOC102918172","turquoise"
"133","LOC102917865","magenta"
"134","LOC121825290","turquoise"
"135","Znf304","grey"
"136","LOC102920010","turquoise"
"137","Aurkc","turquoise"
"138","LOC102917250","blue"
"139","LOC107401575","turquoise"
"140","Znf615","turquoise"
"141","Spaca6","green"
"142","novel_gene_NC_056008.1_3089","green"
"143","novel_gene_NC_056008.1_3087","green"
"144","novel_gene_NC_056008.1_3097","green"
"145","LOC107399596","turquoise"
"146","LOC102904622","turquoise"
"147","LOC102909266","red"
"148","LOC121825828","turquoise"
"149","LOC102905355","grey"
"150","novel_gene_NC_056008.1_3171","black"
"151","LOC102905670","black"
"152","LOC121820890","grey"
"153","LOC102908851","yellow"
"154","Ttyh1","turquoise"
"155","novel_gene_NC_056008.1_3503","turquoise"
"156","Leng8","green"
"157","Leng9","blue"
"158","Cdc42ep5","blue"
"159","LOC102910322","brown"
"160","Znf787","blue"
"161","Znf444","blue"
"162","LOC102908835","grey"
"163","LOC102908090","blue"
"164","LOC102907789","turquoise"
"165","LOC102915833","green"
"166","LOC102910518","grey"
"167","novel_gene_NC_056008.1_3877","turquoise"
"168","LOC102912415","turquoise"
"169","Peg3","turquoise"
"170","LOC102918017","turquoise"
"171","novel_gene_NC_056008.1_4121","turquoise"
"172","novel_gene_NC_056008.1_4125","turquoise"
"173","novel_gene_NC_056008.1_4171","turquoise"
"174","novel_gene_NC_056008.1_4167","turquoise"
"175","LOC102918633","turquoise"
"176","Epn1","blue"
"177","U2af2","brown"
"178","LOC121827161","brown"
"179","LOC121827160","blue"
"180","Ccdc106","turquoise"
"181","LOC102905006","blue"
"182","Znf784","blue"
"183","Znf865","blue"
"184","Znf524","blue"
"185","Fiz1","blue"
"186","Znf579","grey"
"187","Ssc5d","yellow"
"188","Znf628","blue"
"189","LOC102908074","blue"
"190","LOC102908604","grey"
"191","LOC121827205","grey"
"192","Shisa7","turquoise"
"193","Ube2s","turquoise"
"194","Rpl28","pink"
"195","Il11","turquoise"
"196","LOC102910812","grey"
"197","Kmt5c","turquoise"
"198","LOC102912185","turquoise"
"199","LOC121825716","turquoise"
"200","Hspbp1","blue"
"201","Ppp6r1","blue"
"202","Tmem86b","green"
"203","Hif3a","grey"
"204","Ppp5c","turquoise"
"205","Ccdc8","turquoise"
"206","Pnma8b","turquoise"
"207","Calm3","turquoise"
"208","Ptgir","grey"
"209","Dact3","turquoise"
"210","Prkd2","brown"
"211","LOC121827244","brown"
"212","Strn4","turquoise"
"213","LOC102927966","turquoise"
"214","Slc1a5","turquoise"
"215","Ap2s1","magenta"
"216","LOC102927064","yellow"
"217","LOC102906349","yellow"
"218","LOC121825725","turquoise"
"219","Arhgap35","blue"
"220","Tmem160","blue"
"221","Zc3h4","brown"
"222","Sae1","brown"
"223","Bbc3","turquoise"
"224","novel_gene_NC_056008.1_4964","turquoise"
"225","Ccdc9","blue"
"226","Inafm1","brown"
"227","C5ar2","grey"
"228","Dhx34","brown"
"229","Meis3","grey"
"230","Kptn","turquoise"
"231","Napa","blue"
"232","novel_gene_NC_056008.1_5238","yellow"
"233","Bicra","blue"
"234","novel_gene_NC_056008.1_5236","blue"
"235","Ehd2","blue"
"236","Nop53","blue"
"237","Selenow","red"
"238","LOC102926461","turquoise"
"239","Phldb3","purple"
"240","Ethe1","blue"
"241","Znf575","blue"
"242","Xrcc1","blue"
"243","Irgq","blue"
"244","Znf576","blue"
"245","Znf428","brown"
"246","Cadm4","turquoise"
"247","Plaur","brown"
"248","Smg9","blue"
"249","Kcnn4","blue"
"250","LOC102909979","brown"
"251","novel_gene_NC_056008.1_5743","blue"
"252","LOC102915536","blue"
"253","LOC102914921","blue"
"254","Pvr","blue"
"255","Bcl3","yellow"
"256","Bcam","yellow"
"257","Nectin2","brown"
"258","Tomm40","brown"
"259","Apoe","grey"
"260","Apoc1","turquoise"
"261","Clptm1","brown"
"262","Relb","blue"
"263","LOC102909357","grey"
"264","Znf296","brown"
"265","Gemin7","magenta"
"266","novel_gene_NC_056008.1_6580","grey"
"267","Ppp1r37","blue"
"268","Trappc6a","brown"
"269","Bloc1s3","grey"
"270","Exoc3l2","blue"
"271","Mark4","blue"
"272","Klc3","turquoise"
"273","Ercc2","brown"
"274","Ppp1r13l","blue"
"275","Polr1g","brown"
"276","Ercc1","brown"
"277","Fosb","blue"
"278","Rtn2","turquoise"
"279","LOC102917914","purple"
"280","Opa3","blue"
"281","novel_gene_NC_056008.1_6599","grey"
"282","Gpr4","blue"
"283","Eml2","blue"
"284","Gipr","green"
"285","Snrpd2","turquoise"
"286","Qpctl","blue"
"287","Fbxo46","turquoise"
"288","Six5","grey"
"289","Dmpk","yellow"
"290","Dmwd","blue"
"291","Sympk","brown"
"292","Irf2bp1","blue"
"293","LOC102925852","blue"
"294","Ccdc61","turquoise"
"295","novel_gene_NC_056008.1_7022","turquoise"
"296","novel_gene_NC_056008.1_7026","turquoise"
"297","Pglyrp1","yellow"
"298","LOC102911987","yellow"
"299","LOC121827482","green"
"300","novel_gene_NC_056008.1_7028","blue"
"301","novel_gene_NC_056008.1_7219","turquoise"
