"","MEgreen","MEred","MEtan","MEmagenta","MEturquoise","MEblack","MEblue","MEyellow","MEpink","MEgreenyellow","MEbrown","MEpurple","MEgrey"
"W239",0.111663170491728,0.244244130274271,0.0142217724724848,0.173696188403877,0.0566091847740006,0.153921958049429,-0.101802298405909,0.0109850921904364,0.12072778539832,-0.242954995713959,-0.0913816044737535,-0.0914604027663111,-0.021981491947417
"W241",0.141577492729375,0.053129419981385,0.0225241859604334,-0.0651114480840945,0.0281506517185663,-0.0100015401923619,-0.0514973959491982,0.0510739991268374,-0.140173527095176,-0.045074357846414,-0.103412331743564,-0.0640888433987007,0.0110039737111675
"W243",0.209267604543046,-0.0300018066537845,0.0393419587676345,-0.0495417590085852,0.1300127114893,-0.0985534436501001,-0.143260902893836,-0.230097057097676,-0.207358824642731,-0.0384693750272282,-0.0519371318571276,0.118017813559377,-0.190224184678244
"W244",0.104087759522887,0.066658868898999,0.156592149762127,0.138151054322524,0.149095082013022,-0.0660823629131449,-0.140942414674172,-0.231867898853047,0.01669445468234,-0.139775671389851,0.0590303240362589,0.0725559252354924,-0.133478533395393
"W245",-0.147477305526026,-0.0979129486839083,0.133434489545111,0.154907344387548,0.161399357354625,-0.219041260400253,-0.0814950210802728,-0.206085966164915,0.0657429237591344,0.0274728871469577,0.21887236755729,0.147505477213331,0.0135124232284589
"W246",-0.131341229224831,0.0509132413325605,-0.0422444562548202,0.275393704346572,0.177752606655087,-0.0728744276502494,-0.0970348066996822,-0.201999235888669,0.20864825245881,0.021668320510583,0.209800855908678,0.122665134528628,0.00928492257856006
"W261",0.222606162570537,-0.041753556183798,0.249478912537405,-0.268880102529851,-0.00915199349510875,-0.131465332111731,-0.118028095779234,0.0580608829767364,-0.376679082267504,0.0118110757190473,-0.25950521797434,-0.139802808004399,0.0132238479776658
"W262",0.192841592677783,0.287385185461899,0.0311932704021034,-0.031303024929325,-0.0464474068731101,0.215335035375796,-0.0711110481689592,0.121664475381737,-0.0659622741870022,-0.0487517751972817,-0.271903970290135,-0.230165711840012,0.036326931592483
"W264",0.14017182886082,0.0951720974048829,0.00178770827587817,-0.109613494198086,-0.0407151650819523,0.0495961236610619,-0.0314072201760704,0.161180629720465,-0.0952581215872586,-0.0489029772180741,-0.156830398391148,-0.20671526290636,0.141315889142962
"W268",-0.124834088154713,-0.16982899051287,-0.0382657134714859,0.036464802914247,0.114017096326913,-0.193618077701006,0.0304812274168387,0.0192864212768248,-0.0126394097189737,0.116517751941367,0.196724089105726,0.123802235137361,0.0794497729206059
