"","moduleColor","ModuleSize","F.O2","Pvalue.O2","Pvalue.O2corr"
"1","green",528,0.0580560952439644,0.816093585234728,0.816093585234728
"2","pink",198,1.1291696971361,0.304398525986852,0.456597788980278
"3","red",335,1.96563603331226,0.18207556500674,0.416157374231541
"4","blue",2040,4.69622283824095,0.0453056746872278,0.307279025102282
"5","purple",142,0.475696771488538,0.503269442689738,0.603923331227685
"6","brown",1677,4.5551081562069,0.0512131708503804,0.307279025102282
"7","yellow",859,0.498365731351346,0.492333164690585,0.603923331227685
"8","greenyellow",83,1.26184039548847,0.280831856915088,0.456597788980278
"9","black",331,1.75606301737391,0.208078687115771,0.416157374231541
"10","turquoise",7646,0.0917784071530944,0.766307118097571,0.816093585234728
"11","magenta",149,2.18824982944694,0.163615802660157,0.416157374231541
"12","tan",57,2.13821651650974,0.151890609086493,0.416157374231541
