"Mom","Pop","O2","Slide ID","Process #","LZ_Area","Progenitor_Area_1","Progenitor_Area_2","Prog_Sum","Prog_LZ","Group","Imp_Number","Imp_Uniq"
"BW110","Lowland","1N","1.1E",2383,1.87,0.246,0.142,0.388,0.207486631016043,"Lowland 1N","1.1","BW110_1.1"
"BW110","Lowland","1N","1.1E",2385,1.667,0.322,0.051,0.373,0.22375524895021,"Lowland 1N","1.1","BW110_1.1"
"BW110","Lowland","1N","1.1E",2386,1.889,0.18,0,0.18,0.0952885124404447,"Lowland 1N","1.1","BW110_1.1"
"BW113","Lowland","1N","1.1H",131,1.213,0.118,0.159,0.277,0.22835943940643,"Lowland 1N","1.1","BW113_1.1"
"BW113","Lowland","1N","1.1H",135,1.719,0.268,0.206,0.474,0.275741710296684,"Lowland 1N","1.1","BW113_1.1"
"BW102","Lowland","1N","1.2D",3029,1.746,0.134,0,0.134,0.0767468499427262,"Lowland 1N","1.2","BW102_1.2"
"BW102","Lowland","1N","1.2D",3030,1.354,0.102,0,0.102,0.0753323485967504,"Lowland 1N","1.2","BW102_1.2"
"BW102","Lowland","1N","1.2D",3032,1.668,0.041,0,0.041,0.0245803357314149,"Lowland 1N","1.2","BW102_1.2"
"BW107","Lowland","1N","1.2G",43,2.74,1.025,0.071,1.096,0.4,"Lowland 1N","1.2","BW107_1.2"
"BW107","Lowland","1N","1.2G",44,2.721,0.87,0.084,0.954,0.350606394707828,"Lowland 1N","1.2","BW107_1.2"
"BW107","Lowland","1N","1.2G",45,2.476,0.812,0.052,0.864,0.348949919224556,"Lowland 1N","1.2","BW107_1.2"
"BW107","Lowland","1N","2.2I",276,2.558,0.782,0.195,0.977,0.381939014855356,"Lowland 1N","2.2","BW107_2.2"
"BW107","Lowland","1N","2.2I",277,2.434,1.041,0.247,1.288,0.529170090386195,"Lowland 1N","2.2","BW107_2.2"
"BW107","Lowland","1N","2.2I",278,2.444,0.651,0.535,1.186,0.485270049099836,"Lowland 1N","2.2","BW107_2.2"
"BW107","Lowland","1N","2.2H",286,2.574,0.577,0.112,0.689,0.267676767676768,"Lowland 1N","2.2","BW107_2.2"
"BW107","Lowland","1N","2.2H",287,2.746,0.536,0.278,0.814,0.296431172614712,"Lowland 1N","2.2","BW107_2.2"
"BW107","Lowland","1N","2.2H",288,2.528,0.552,0.175,0.727,0.287579113924051,"Lowland 1N","2.2","BW107_2.2"
"BW134","Lowland","2H","1.2F",137,2.503,0.119,0.102,0.221,0.0882940471434279,"Lowland 2H","1.2","BW134_1.2"
"BW134","Lowland","2H","1.2F",139,2.719,0.721,0.052,0.773,0.284295696947407,"Lowland 2H","1.2","BW134_1.2"
"BW134","Lowland","2H","1.2F",141,2.068,0.24,0,0.24,0.11605415860735,"Lowland 2H","1.2","BW134_1.2"
"BW101","Lowland","2H","2.2C",279,1.401,0.24,0.077,0.317,0.226266952177016,"Lowland 2H","2.2","BW101_2.2"
"BW101","Lowland","2H","2.2C",280,0.795,0.03,0,0.03,0.0377358490566038,"Lowland 2H","2.2","BW101_2.2"
"BW101","Lowland","2H","2.2C",281,0.824,0.077,0,0.077,0.0934466019417476,"Lowland 2H","2.2","BW101_2.2"
"BW118","Lowland","2H","1.1G",2448,1.313,0.427,0.099,0.526,0.400609291698401,"Lowland 2H","1.1","BW118_1.1"
"BW118","Lowland","2H","1.1G",2449,1.233,0.531,0.112,0.643,0.521492295214923,"Lowland 2H","1.1","BW118_1.1"
"BW118","Lowland","2H","1.1G",2452,1.274,0.588,0.023,0.611,0.479591836734694,"Lowland 2H","1.1","BW118_1.1"
"BW105","Lowland","2H","1.1H",55,1.782,0.654,0.071,0.725,0.406846240179573,"Lowland 2H","1.1","BW105_1.1"
"BW105","Lowland","2H","1.1H",56,1.859,0.806,0.028,0.834,0.448628294782141,"Lowland 2H","1.1","BW105_1.1"
"BW126","Lowland","2H","1.1E",52,2.14,0.234,0.164,0.398,0.185981308411215,"Lowland 2H","1.1","BW126_1.1"
"BW126","Lowland","2H","1.1E",53,2.92,0.333,0.141,0.474,0.162328767123288,"Lowland 2H","1.1","BW126_1.1"
"BW126","Lowland","2H","1.1E",54,2.928,0.416,0.133,0.549,0.1875,"Lowland 2H","1.1","BW126_1.1"
"BW116","Lowland","2H","1.2E",113,1.673,0.191,0.106,0.297,0.177525403466826,"Lowland 2H","1.2","BW116_1.2"
"BW116","Lowland","2H","1.2E",114,1.438,0.225,0,0.225,0.156467315716273,"Lowland 2H","1.2","BW116_1.2"
"BW116","Lowland","2H","1.2E",117,1.692,0.061,0.094,0.155,0.0916075650118203,"Lowland 2H","1.2","BW116_1.2"
"ME289","Highland","1N","2.2H",118,1.681,0.649,0.029,0.678,0.403331350386675,"Highland 1N","2.2","ME289_2.2"
"ME289","Highland","1N","2.2H",119,1.309,0.395,0.012,0.407,0.310924369747899,"Highland 1N","2.2","ME289_2.2"
"ME289","Highland","1N","2.2H",120,1.583,0.594,0.01,0.604,0.381554011370815,"Highland 1N","2.2","ME289_2.2"
