"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"novel_gene_NC_056014.1_26268",0.794868134344922,11.8200195158847,5.07521088005626,4.0818565482126e-07,4.93904642333725e-05,3.12821494377525,5.06510017009562
"novel_gene_NC_056018.1_12368",1.52951105723625,9.09667828099559,4.78450825394477,3.88869078606061e-06,0.000235265792556667,1.69273477818352,4.61724446237398
"Hacl1",-0.544145230055324,11.3848575380673,-4.37142288488555,1.34557826114106e-05,0.000542716565326895,1.03038733076409,-4.35255870369364
"Nptx1",1.00896041542316,11.501161440957,4.03306656286731,5.76291895776028e-05,0.00173414286792911,0.229387232434987,4.0223138777015
"novel_gene_NC_056031.1_555",1.43758832999764,9.64960399554859,4.08961974108364,7.16587961954179e-05,0.00173414286792911,-0.107504652510002,3.97070988464946
"Cdh22",1.4268837285312,9.90037462886123,3.88432184036518,0.000232330822286717,0.00371274661841353,-1.17580643180449,3.6809892270276
"LOC107401045",0.810741897456136,8.00438427584446,4.07324946979835,0.000244173173774823,0.00371274661841353,-1.66168181750048,3.6682951941307
"LOC102919483",1.28066723203168,8.45507222137972,3.94938392655306,0.0002454708508042,0.00371274661841353,-1.21571517010749,3.66693949216834
"LOC102922429",-0.197891929400961,12.7330870665002,-3.62429548089372,0.000292819416797538,0.00393679438138912,-1.03697955797383,-3.62157099926019
"novel_gene_NC_056017.1_6720",1.23675812114855,8.05316877848456,3.92746706129923,0.000344717917275254,0.00417108679903057,-1.62386741779188,3.57914671021453
"Taf1b",-0.196912112528441,11.2852133271511,-3.53138042412656,0.000420819365465314,0.00457037471857442,-0.968213048148688,-3.52667097274563
"Ripply3",1.7121446805161,11.8079634253909,3.54188078067389,0.000453260302668537,0.00457037471857442,-1.11502497106589,3.50695822344604
"Hmcn2",1.46818580616224,10.0240748431503,3.53301140796536,0.000745552371510876,0.00611212630335215,-1.71248338486083,3.37225554725196
"LOC102911743",1.37853601259276,11.8947936787551,3.39792419208487,0.000787740028757434,0.00611212630335215,-1.4606476707236,3.35706706462345
"novel_gene_NC_056031.1_13071",0.841639894830918,7.79089265712116,3.51585365736029,0.00092439534896451,0.00611212630335215,-1.6108258113703,3.31258045199441
"novel_gene_NC_056010.1_20627",2.22604071027657,7.01512027539541,3.66956630704877,0.000964796659292044,0.00611212630335215,-2.32025538066778,3.3005960992668
"novel_gene_NC_056019.1_18811",0.757267675347307,9.59361409072688,3.44011070446455,0.00103208942955117,0.00611212630335215,-1.90539279348065,3.28162998255687
"Nwd1",1.48326161842482,11.7960675902239,3.29334242940234,0.00113630191895934,0.00611212630335215,-1.66683728074162,3.25440491480954
"Slc34a2",2.08988928673056,13.3457942646177,3.26882708721584,0.00113880386410204,0.00611212630335215,-1.69287714241544,3.25378012284122
"novel_gene_NC_056019.1_18807",0.830156868687628,7.37590366976623,3.50624128868236,0.00126180079818885,0.00611212630335215,-2.07817424607849,3.224528991316
"LOC102925262",1.68636838579263,10.1257230326271,3.28025130754786,0.00128003306779704,0.00611212630335215,-1.69173043782281,3.22041911857035
"Aqp3",1.58693073974068,12.9805746136339,3.22582234552966,0.00128673891832025,0.00611212630335215,-1.8432399906813,3.21892108493594
"novel_gene_NC_056019.1_18821",1.06798792532335,8.33992159250547,3.45122565335462,0.0013035226276593,0.00611212630335215,-2.19816751252088,3.21520309320658
"Dync2li1",0.75468995507512,9.33872960474714,3.26064457084878,0.00134210508278459,0.00611212630335215,-1.66152744780393,3.20682093406469
"Armc10",-0.194465977517249,12.1379564887835,-3.20456172803672,0.00135936261947346,0.00611212630335215,-2.00180930390825,-3.20314342663184
"Ccdc175",-0.156188899673658,9.21242096054761,-3.22516061324867,0.00136651777520773,0.00611212630335215,-1.5700869691434,-3.20163130941682
