"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Armcx3",-0.340071277825187,5.91644072585603,-4.72366435783006,2.44269367965215e-06,0.0254870383501915,2.11739653005841,-4.71285554194507
"LOC102918607",-0.208712198335777,2.23638877431362,-4.61775552396374,4.26350003709839e-06,0.0254870383501915,1.9720609893338,-4.5981055462444
"novel_gene_NC_056029.1_4781",-0.207603294570648,2.23162542004343,-4.6145129006962,4.33017808175472e-06,0.0254870383501915,1.96303941396253,-4.59487064256596
"Hacl1",-0.613088680708966,3.66001797314835,-4.62920226842224,4.73187066144191e-06,0.0254870383501915,0.903524061530568,-4.57633744693544
"Tmem178b",1.25935339259213,-0.185937350173024,4.58373709834055,7.26822879421584e-06,0.031318797874276,0.629147863355518,4.48567844123056
"novel_gene_NC_056031.1_555",1.23809192493046,1.66042595492606,4.47606072379665,1.05187491800276e-05,0.0377710751806159,0.490225574878889,4.40622543327068
"Sms",-0.51623232693123,5.58114884741214,-4.40566848249895,1.23033065904257e-05,0.0378678200701031,0.575942806410459,-4.37214269509304
"LOC121831012",-0.253378244552007,3.64218893154732,-4.33910383702793,1.51888997198169e-05,0.0405881587688233,1.12098428487892,-4.32593095516114
"LOC121826317",2.06058827039483,1.78555699169283,4.48720642726002,1.69549050322307e-05,0.0405881587688233,-0.755142529156742,4.30162634729285
"LOC102910403",-0.546196133621279,4.91685019263193,-4.239349700025,3.10197968141962e-05,0.0574666979281645,-0.383081441805556,-4.16584753687972
"LOC102902949",-0.490869273554476,3.89896653474457,-4.19698786032586,3.18586777279539e-05,0.0574666979281645,0.0844749396725826,-4.15975670264629
"Taf1b",-0.305650267531567,3.75782815066271,-4.16813253923245,3.25211541809909e-05,0.0574666979281645,0.616822886946764,-4.15505342688387
"Cdh22",1.54146648775133,3.39105859547922,4.26413424312553,3.46747307062492e-05,0.0574666979281645,-0.791166852341926,4.14036918413702
"Armc10",-0.431670757304039,4.41453959460488,-4.13649313953557,3.96466921741507e-05,0.061013427349434,0.0910943217142544,-4.10952900245432
"Zbtb33",-0.344660733627377,3.12666388792986,-4.12814583481818,4.36045296408064e-05,0.0626306394074116,-0.0728027118507111,-4.08750073443334
"Klhl29",0.657215162407185,1.23301648227206,4.12435268476057,5.11064670978788e-05,0.0664971982912445,-0.412713125097196,4.05050843569866
"Lingo1",-0.594337134621913,-0.691268222578248,-4.09321325476592,5.24693604525949e-05,0.0664971982912445,0.11810745553635,-4.04434610298667
"Cenpx",-0.273533812967491,5.08599681305627,-4.01665762610488,6.05847264183205e-05,0.0725165517045953,0.355338118474691,-4.01052172035981
"LOC121826758",-0.36611586021325,0.772624460948694,-4.01010004966948,6.62941484308557e-05,0.0728374376313511,0.303715298071577,-3.98920844077504
"Ttc39a",-0.510750194356245,6.36914143912783,-3.99059929246437,6.76142377640762e-05,0.0728374376313511,0.281488980456634,-3.98452851605682
"Galnt14",0.407539083161419,0.116685943988453,4.01421848451883,7.29162584135832e-05,0.0744203567049081,-0.181080629698708,3.96656381707176
