"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Hacl1",-0.712254023983072,3.51516677206058,-5.27711693510728,2.09358802635898e-07,0.00434063605505007,2.1859995234448,-5.19082991854335
"novel_gene_NC_056014.1_26268",0.658102709714333,3.88443164949013,4.9335017299353,8.61800642851759e-07,0.00893385636412276,3.01702077639876,4.9208252249248
"Armcx3",-0.333996676788518,5.96066613325602,-4.78365004762701,1.81230663261386e-06,0.0125248511379944,2.39432013401246,-4.77330094840571
"novel_gene_NC_056018.1_12368",1.47652271385325,1.21614029214694,4.54202997567183,9.3606874894086e-06,0.0485187834294771,0.361811940236864,4.43143766446883
"novel_gene_NC_056031.1_555",1.25133530520253,1.74221267182644,4.35002053140276,1.87342081498185e-05,0.0608395546778554,0.291230204675274,4.27946620346457
"Fat4",0.502803301156147,2.54976463711595,4.28666921790589,1.93583115148269e-05,0.0608395546778554,1.15500098322123,4.27216630279963
"LOC102910403",-0.550722891339888,4.91091006117348,-4.26029599532153,2.83089512763672e-05,0.0608395546778554,-0.208672872282039,-4.18665990716705
"LOC102921396",-0.316842405027428,4.33410717275038,-4.20397476910858,2.90906176121521e-05,0.0608395546778554,0.405126467139804,-4.18047079315083
"Sms",-0.510733231655468,5.62690157348884,-4.18281352893031,3.33569970206515e-05,0.0608395546778554,0.127138429108087,-4.14924752264487
"Mtfmt",-0.177933628672262,3.72977090454838,-4.15377837271669,3.40297987359398e-05,0.0608395546778554,0.778906710310963,-4.14467365845287
"Armc10",-0.39296081577332,4.22570996360434,-4.13393472428814,3.92262024066699e-05,0.0608395546778554,0.269427207016377,-4.11199074708781
"Zscan29",-0.245793730322858,4.20804348186259,-4.11731752136648,4.16810069814372e-05,0.0608395546778554,0.28621755320501,-4.09795845263187
"Phldb2",-0.426469488112492,6.81327236309787,-4.12461732093858,4.22570112078573e-05,0.0608395546778554,0.0629495017340993,-4.09477963655817
"Taf1b",-0.396464417709955,3.42668055552345,-4.12981338318876,4.35909754154695e-05,0.0608395546778554,-0.0366208048913155,-4.08757288195834
"novel_gene_NC_056030.1_13193",0.427349646688806,-0.55515535974753,4.12491468522002,4.56006083589934e-05,0.0608395546778554,0.436713327280983,4.0771014071699
"LOC102922429",-0.410488534559425,4.86025810320984,-4.10767475181447,4.70246256578338e-05,0.0608395546778554,-0.102917876162413,-4.06994307888614
"Nipsnap2",-0.330120873374477,5.03510068454392,-4.0641861802377,5.23532857724766e-05,0.0608395546778554,0.104197756337562,-4.04486499027741
"Ppp1ca",-0.285354383710592,7.8859170485041,-4.06173201840387,5.30114912582201e-05,0.0608395546778554,0.132507039591339,-4.04193693593147
"novel_gene_NC_056021.1_18778",-0.495066693025009,0.285713960537381,-4.10820270376659,5.57541860261059e-05,0.0608395546778554,-0.254931951859263,-4.03009554356444
"Sncg",0.467693019470904,1.43714264808434,4.02564134674806,6.15663368499488e-05,0.0638227430954995,0.409728957652938,4.00672553028618
"novel_gene_NC_056029.1_4781",-0.181243521594354,2.30795251749978,-3.98472501621374,7.12497177621067e-05,0.0685719870193626,0.351805366734637,-3.97207353148236
"LOC102918607",-0.182343642667963,2.31272891108247,-3.9796481174918,7.27624422141503e-05,0.0685719870193626,0.338895077270003,-3.96706732889424
"Cenpx",-0.266864674031014,5.08528380190388,-3.90891916359082,9.51900941036781e-05,0.0856263271633549,0.0686197434938229,-3.90253595107672
"Ttc39a",-0.545632399142469,6.26204821969885,-3.90137509562543,9.91188854444855e-05,0.0856263271633549,-0.0436892759136356,-3.89273872244587
"novel_gene_NC_056018.1_10107",-0.226598454011592,2.11174300039961,-3.88565992486318,0.000107535106756103,0.089181014734971,0.0900865172959993,-3.8729291253809
"LOC121826758",-0.363092808237698,0.770753033121996,-3.87960695976434,0.000114428878873163,0.0912482286798958,0.00014241073881216,-3.85776437533573
"Hif3a",0.705903275397494,4.07225081941028,3.82670264802004,0.000132898458549263,0.0915002565034465,-0.0306294774868201,3.82102447954605
"Zbtb33",-0.323501549628901,3.20057877232421,-3.85548236852739,0.000133096143808213,0.0915002565034465,-0.566118794915816,-3.82065793285011
"Cfap251",-0.629047046711189,0.73002529148993,-3.99184794752373,0.000133134109352832,0.0915002565034465,-1.50314931080283,-3.82058759611199
"novel_gene_NC_056017.1_6720",1.08005027010064,0.162090922190093,3.96120474732761,0.000136257622054372,0.0915002565034465,-1.28345947817509,3.81486460227458
"LOC102916672",-0.418471326907309,4.74533560052062,-3.84935554689321,0.000137165339826471,0.0915002565034465,-0.67248519456772,-3.81322462736106
"Pmpcb",-0.371732107870316,5.88976994937066,-3.84239691201611,0.000142079214615716,0.0915002565034465,-0.722624271211547,-3.8045203800656
"LOC102902949",-0.466881389291463,3.97565235163349,-3.8281985879704,0.000145637797936321,0.0915002565034465,-0.600159750073012,-3.79839211099027
"LOC107401045",0.780531097110621,-0.147507246545722,3.92149217789606,0.000165563603799572,0.100959711693427,-1.4222219693804,3.76648261975739
"LOC102919483",1.09511618857131,0.546085266892492,3.88827068982494,0.000184482628663215,0.103192167555179,-1.50783956864484,3.73936917421249
"Commd10",-0.327224568023038,4.76790547925581,-3.76359582856064,0.000188283024449899,0.103192167555179,-0.77285019271095,-3.73423981372122
"Pacc1",-0.368228617163451,2.08038339295727,-3.78727903763962,0.000189020548277666,0.103192167555179,-0.91088377142919,-3.73325567186316
"Ccdc175",-0.362523734105487,1.32552021134105,-3.77598505994355,0.000194678745193645,0.103192167555179,-0.832210020621838,-3.72582330741221
"Dctn5",-0.248359838287194,5.3770503812854,-3.73661189282136,0.000197964871691125,0.103192167555179,-0.613961574928188,-3.72159944811044
