"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Vgll3",-0.430496144281198,14.0067943477422,-3.84981983554483,0.000118838756880043,0.0143794895824852,-0.197840370568542,-3.84850936054817
"Sacm1l",-0.122345014000957,13.3028628634154,-3.20536092438262,0.0013505763940359,0.0729648207890028,-1.71175358522307,-3.20501031716901
"LOC102906308",-0.251804859023455,12.2206441180284,-3.12100343078435,0.001809045143529,0.0729648207890028,-1.85910646082579,-3.11991291469721
"Mmgt1",-0.161097461735859,12.8712483977686,-2.60046567168966,0.00933834508835841,0.282484938922842,-2.95859714050394,-2.59941261550729
"novel_gene_NC_056021.1_18820",-0.181413953620572,8.67924404558774,-2.20006918658815,0.0285941364583233,0.447553933184268,-3.59706523478344,-2.18903719826306
"Dync2li1",0.27945299392903,10.1624056070186,2.18332695562366,0.0292959239815368,0.447553933184268,-3.57845049121238,2.1794814129024
"Btd",-0.187153708311766,11.8199267099835,-2.12753951444703,0.0334878580603711,0.447553933184268,-3.73275738442796,-2.12618500618322
"novel_gene_NC_056008.1_24335",0.344791709478281,12.7880686714893,2.11351068490074,0.0351743035067367,0.447553933184268,-3.73767706404042,2.10634605505411
"LOC102915357",0.344542601544283,12.788555111587,2.11170456599169,0.035331029944047,0.447553933184268,-3.74004362736595,2.10454389364543
"Atg5",-0.0682831190039618,13.0106738210523,-2.02722408305418,0.042669259597945,0.447553933184268,-4.08053766659182,-2.02693305393446
"Hacl1",-0.250535803257281,11.6334776678868,-1.99115227483681,0.0466562864218175,0.447553933184268,-3.90992107936738,-1.98940710165536
"LOC121828229",-0.270022496355955,11.0070007805357,-1.94188168138163,0.0533656528783377,0.447553933184268,-3.96791976216138,-1.93195019977928
"Cby1",0.160360928382482,12.1823640257286,1.92754690548505,0.054075556902546,0.447553933184268,-4.01933471931789,1.92623083776586
"Arf4",-0.089093803444511,15.5127158696888,-1.9034644191547,0.0569867580966952,0.447553933184268,-4.58884059141731,-1.90341237064231
"Cdh22",-0.543555292520812,8.64921749438318,-1.91703348840125,0.0582832093072595,0.447553933184268,-4.07785146642888,-1.89356171473417
