"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Aptx",0.412899776487773,3.53125646503702,5.0810829982888,4.24146603385991e-07,0.00913823856995117,3.09444877277291,5.05778843794235
"LOC102926757",0.181047175638087,5.10956951614177,4.61673994152868,4.05343454293809e-06,0.0292172485510002,2.09702560796751,4.60862356330535
"LOC102909279",0.689386737606428,3.14983874326699,4.67872869934937,4.0683103111163e-06,0.0292172485510002,0.941891241263479,4.60786173642658
"novel_gene_NC_056009.1_36467",0.309755103114868,3.4125564354598,4.54278647234379,5.94940569904757e-06,0.0293286357769832,1.81959056054509,4.52817941696779
"novel_gene_NC_056010.1_20146",0.593361323673498,2.61823340337694,4.54319656554069,6.80636708679118e-06,0.0293286357769832,1.11178746034925,4.49965551564106
"Rgs20",0.615867671743429,0.10693851718909,4.4950498913223,8.8469572948639e-06,0.0317679491529738,1.27314094301947,4.44359133768165
"Colec12",-0.888272739299241,4.91047359357996,-4.40163696892118,1.11241489429085e-05,0.0342385412821376,1.51843602058212,-4.39408265273372
"Rhbdf2",-0.602919565169279,4.80730185411472,-4.36460985556939,1.31748518365729e-05,0.0354815228523704,1.41522533453222,-4.35718066002225
"Zcchc24",-0.67447600963083,5.12298897094625,-4.32630309524865,1.65728411164041e-05,0.0390023942512449,0.791044311245637,-4.30667288328795
"novel_gene_NC_056009.1_36698",0.372540486743958,0.843055444820599,4.30934624155982,1.91787251844656e-05,0.0390023942512449,0.93562631625153,4.27424361332307
"C1s",-1.41630847065818,1.96861081214757,-4.2454764077723,2.42935770428535e-05,0.0390023942512449,0.903766136068931,-4.2212644103339
"novel_gene_NC_056008.1_72477",-0.245436113815978,2.80917408496974,-4.2359555399344,2.4416534965596e-05,0.0390023942512449,0.958763720948837,-4.22012642778243
"LOC102922481",0.422697501996306,1.27447696711416,4.25418969979334,2.56082036276606e-05,0.0390023942512449,0.491671033174275,4.20937149780408
"novel_gene_NC_056026.1_691",-0.34962671606826,4.27743818321666,-4.22140794924656,2.69041395296667e-05,0.0390023942512449,0.49122851634308,-4.19820301021927
"novel_gene_NC_056011.1_35137",0.312142719379649,3.75974257844635,4.20608524218006,2.71541384900754e-05,0.0390023942512449,0.945582325812455,4.19610751342208
"Zeb2",-1.0065073019846,3.68677512363581,-4.17356291389525,3.14558228547836e-05,0.0423572314628945,0.854052091748946,-4.16266243065548
"LOC102915711",0.549247534334777,4.10581288280271,4.13665614673254,3.69179608996967e-05,0.0467880863284685,0.652717840638071,4.12596737298034
"Myo5a",-0.545683859631722,3.61660402851707,-4.10914642776495,4.15246815338324e-05,0.0488598396885208,0.682179058156033,-4.0988283627331
"Uros",0.503848173392941,4.50312614525408,4.10439754613399,4.30882782122021e-05,0.0488598396885208,0.393074486012674,4.09026382230672
"Tmem139",0.552321237039545,4.0026123898317,4.0844478534506,4.91012661990666e-05,0.0522581423542837,0.126148896288454,4.0598641941028
"novel_gene_NC_056031.1_14454",-0.480817824197158,-0.0486934848489279,-4.09393342872897,5.093622601253e-05,0.0522581423542837,0.308160341962015,-4.0512890972258
"Lin7a",0.891855136199708,0.436788867946758,4.06630207839778,5.53451003895344e-05,0.053107036401806,0.302914560667194,4.03182624411645
"Iqcc",0.247351808038813,4.19421946141823,4.0219026459519,5.95249044215918e-05,0.053107036401806,0.475312112491828,4.0146863262674
"novel_gene_NC_056011.1_9715",-1.04469608347594,0.661001146201953,-4.04169024798969,6.1067811052277e-05,0.053107036401806,0.269369932962744,-4.00864626339754
"Swi5",0.336135496607986,6.98473164809211,4.0167471034496,6.16233887233767e-05,0.053107036401806,0.246998912031914,4.00650665913127
"novel_gene_NC_056017.1_665",-0.419465133961171,1.51703863494991,-4.0338736887523,6.82178573750982e-05,0.0544710844501944,-0.221532065552839,-3.98241732871251
"Lox",-1.502772361598,5.6817561664992,-3.98774086740637,6.82626725530401e-05,0.0544710844501944,0.371184484412635,-3.98226129124982
"LOC121826591",1.48554794598087,6.86775444763707,4.00239664623381,7.3264706109931e-05,0.0558968099048124,-0.331180835733702,3.96542689154448
"LOC121822467",0.517606817278406,0.370012272135777,3.98922238847895,7.6254768220194e-05,0.0558968099048124,0.115859412325031,3.95587581400293
"LOC102904226",0.25997362520874,5.93701321024119,3.946594413253,8.07784392330937e-05,0.0558968099048124,0.28764022016673,3.94207876173633
"novel_gene_NC_056019.1_11138",-1.29069093862357,-0.141887531073671,-3.97378110625748,8.59606835252461e-05,0.0558968099048124,-0.0588697518387526,-3.92714354192349
"C1H15orf40",0.29052513278964,4.18226260183054,3.92955769811433,8.75355683881786e-05,0.0558968099048124,0.232269952751549,3.92277313659039
"C1r",-1.58958892246414,2.56604954023535,-3.93520271283273,8.98952822327162e-05,0.0558968099048124,0.07773850656082,-3.91636187194385
"Fam167b",-0.918833742184183,0.334896977489278,-4.00794925940576,9.03376658106339e-05,0.0558968099048124,-0.678660403178746,-3.91517765268759
"Pcyt2",0.265802906465373,5.25211382397445,3.91900284837867,9.31042064964065e-05,0.0558968099048124,-0.0499735177158396,3.90789381376206
"Ap2s1",0.308970607402765,6.78904963995328,3.91867142933815,9.33991718066023e-05,0.0558968099048124,-0.0586062339015569,3.90712931775582
"Znf324",0.407492638012186,2.63695004131861,3.91919847135581,9.88973247113311e-05,0.056842117828879,-0.191789628916907,3.89328138967288
