"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Etfa",0.536053862667439,6.32183090930868,5.06278711043337,4.43633172139987e-07,0.00658151160432488,4.00473048363346,5.04921330420954
"Cenpx",0.53707261978678,5.16179351406824,4.96664733522319,7.16658561020922e-07,0.00658151160432488,3.83044909337275,4.95679409270819
"C5H7orf25",0.444035526701916,3.47061505431643,4.89599825313034,1.03188499062501e-06,0.00658151160432488,3.80323302967281,4.8854583869996
"LOC102928132",0.60701575163456,1.70517957424449,4.87808423791348,1.3202456401539e-06,0.00658151160432488,3.1307864146262,4.83668173558674
"Trappc3",0.524690529001752,5.21478538598697,4.81727157352561,1.52738723702132e-06,0.00658151160432488,3.30449410009472,4.80761871024088
"LOC102910793",0.783471161982502,0.172118174357961,4.82270204886167,2.13356074790143e-06,0.0069708262528214,2.44783640960857,4.74034361519647
"LOC102908799",0.494947197059791,6.5772902591157,4.7362027212278,2.26483099418658e-06,0.0069708262528214,3.0835813128159,4.72823219232784
"Lin7a",1.1537611549538,0.684906500853769,4.65743099464576,3.58522214098477e-06,0.0083458046604394,2.93123782211431,4.63408353320687
"LOC102919284",0.624983613934589,4.78742874345306,4.63547369417345,3.76311000478717e-06,0.0083458046604394,2.64691719765313,4.62405445756669
"Tmem223",0.371782198930066,4.62157154389339,4.6225076766955,3.87366194497071e-06,0.0083458046604394,2.94381543839715,4.6180482503775
"Clp1",0.514297988041739,4.29469085843841,4.55413333316023,5.78949934407943e-06,0.0113395239425628,2.19587811668657,4.53393448434469
"novel_gene_NC_056010.1_20146",1.02283221289408,2.55685291394863,4.57157809455404,6.31866479265843e-06,0.0113446360798188,1.77544279021061,4.51543593292522
"LOC102906340",0.49624150387139,2.71092145222656,4.50125053282226,7.52910881556173e-06,0.0124780499562521,2.11394990394725,4.47815454505503
"novel_gene_NC_056009.1_4492",0.500770280449164,2.88769785553058,4.45273635741904,9.33402890761437e-06,0.014364403772468,1.99044801070538,4.43205248419665
"novel_gene_NC_056009.1_36467",0.463426010944736,3.32020597680324,4.41503144236729,1.06107488398373e-05,0.0145599498855139,2.08854305961829,4.40433781467074
"Kin",0.409111020767713,3.52363063533772,4.42136261379848,1.08126803512751e-05,0.0145599498855139,1.81710973145753,4.40024885782736
"Psmb7",0.534367571417362,6.70480893629385,4.35028913325319,1.42726236500895e-05,0.0180884515612458,1.70995504570223,4.33962473307485
"Ppp1ca",0.422576944064017,7.80788076096218,4.32104970453304,1.59073722582958e-05,0.0183937449671826,1.8235555135902,4.31573360878677
"Cdh22",-2.00082388232329,2.47804116940513,-4.38621946194325,1.67198142504212e-05,0.0183937449671826,0.893869415248978,-4.30471857625738
"Creb3",0.557440779523841,6.75692710573084,4.31634792767417,1.70747226430101e-05,0.0183937449671826,1.48553575942842,4.30006603082128
"LOC121830908",0.372875308377214,3.47893984358407,4.29287682377775,1.82004859765089e-05,0.0186206896180514,1.78992448634978,4.2858951015042
"LOC102921396",0.507467714266698,4.55470404807191,4.2874858054288,1.90139323089873e-05,0.0186206896180514,1.52996169328005,4.27616617009471
"LOC102909279",0.917783618215208,3.10596956374916,4.29126898924799,2.11906687062608e-05,0.0196001303871484,1.12770359102491,4.25196108659772
"LOC102910403",0.63970816868759,5.0198410738507,4.2598885222765,2.2394493116167e-05,0.0196001303871484,1.24612945528486,4.23957343033129
"Sys1",0.629344518703627,5.85093674300764,4.25560481080915,2.34431566237826e-05,0.0196001303871484,1.12707579868287,4.22928848985322
"Ppp2r2d",0.241445261652099,5.44845467313487,4.23083109698824,2.36529770278885e-05,0.0196001303871484,1.55045793219278,4.22728331603012
"Pmpcb",0.574552641577899,5.96923253963618,4.22704074693949,2.6469625839109e-05,0.019900352410342,1.06062699315448,4.20188956825253
"LOC102926138",0.251587223353946,6.07742966599336,4.20273951545602,2.6749671387302e-05,0.019900352410342,1.46437537202011,4.19950703993836
"LOC121826317",-2.41298024660646,0.645854591975054,-4.29820044474569,2.67862715200704e-05,0.019900352410342,0.532705616149465,-4.19919741322031
"Ilk",0.438193217934381,7.4971405407759,4.20321592115286,2.8737892958409e-05,0.0206385967929641,1.09113301207039,4.18324378949802
"C5H9orf64",0.427099092178569,5.1545776363873,4.17700968490748,3.08139925160825e-05,0.0211419777529578,1.19341435358247,4.16736571394661
"Tmem9b",0.477570483452366,6.14565951720271,4.17716106885875,3.14014058062032e-05,0.0211419777529578,1.09625560071564,4.16305763987794
"novel_gene_NC_056009.1_4470",0.449703436802919,3.91363349798745,4.15961360408066,3.34337363504292e-05,0.0218281772627272,1.18278323467516,4.14872142526925
"Ykt6",0.474077964005156,6.92626138546164,4.14544840633263,3.57943465506079e-05,0.0226820351892014,1.04220216915575,4.13307396897603
"novel_gene_NC_056023.1_8124",0.464320505585843,0.687032708239266,4.14068904976244,3.72332369368789e-05,0.022919716851573,1.28277539751201,4.12401021565007
"LOC102912340",0.868818922151374,2.31306290700606,4.10157025625213,4.54303516138759e-05,0.0260314043647916,0.868611714514697,4.0779714084844
"Rps6kb2",0.371448941425349,4.50929802368804,4.08677991440681,4.56161787299788e-05,0.0260314043647916,0.94139098809744,4.07702199735737
"Tmco1",0.6035958237273,5.81290626689657,4.08782397734909,4.59543567100184e-05,0.0260314043647916,0.857254039275465,4.07530358169154
"Rnf5",0.715370630498765,4.79743154339138,4.08992535893859,4.71211311314399e-05,0.0260314043647916,0.74642045560053,4.06946542708996
