"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"LOC121826317",2.07883114496298,0.645854591975054,5.49262376837375,9.61514513938917e-08,0.00187407725613393,4.37950995963098,5.33385096116351
"LOC102910403",-0.55274266273261,5.0198410738507,-5.25950430632296,1.73968647587276e-07,0.00187407725613393,4.44486843192731,-5.22519821228147
"Tmem178b",1.27865938989013,0.0111665906976826,5.07871876325095,6.05755870739832e-07,0.00435033674502989,3.75728085178905,4.98937298680464
"Cdh22",1.54035289515424,2.47804116940513,4.99573988835036,9.54950760961631e-07,0.00514360353622958,3.12200899937545,4.90070145986745
"novel_gene_NC_056021.1_18778",-0.527811726718341,0.205920422134919,-4.9267672890817,1.20173499190586e-06,0.00517827608012237,3.37834537147055,-4.85535131019992
"Kin",-0.303417577799733,3.52363063533772,-4.65534360461666,3.61795564565144e-06,0.0123304264824163,2.67793296812104,-4.63220275686329
"LOC102912340",-0.7180805900263,2.31306290700606,-4.6405510078572,4.14260835690178e-06,0.0123304264824163,2.62342925372222,-4.60409625860565
"Taf1b",-0.309413950049935,3.71310075657033,-4.59539828185892,4.57848279690557e-06,0.0123304264824163,2.62396397744154,-4.58322985257255
"Ppp1ca",-0.313734575480824,7.80788076096218,-4.54567019414886,5.63024189290823e-06,0.0134781735091897,2.5086885151174,-4.53981945012522
"Ykt6",-0.361232548378906,6.92626138546164,-4.51462669385761,6.79120319328331e-06,0.0139439527274136,2.20558474507019,-4.50012964001251
"LOC102922429",-0.435273347174406,4.80655118635342,-4.50380431587995,7.11921466704803e-06,0.0139439527274136,2.19379913505217,-4.49009281094713
"Sys1",-0.461381565796162,5.85093674300764,-4.47894172848741,8.52898324728848e-06,0.0153130786719025,1.96645643703019,-4.45145644786008
"Hacl1",-0.619126178685805,3.79878240259957,-4.42930598483832,1.07906259004749e-05,0.0178833873096717,1.86628875201084,-4.40069188011942
"C5H7orf25",-0.28433430204609,3.47061505431643,-4.39144260967541,1.16649813603734e-05,0.0179515731006603,2.07252880732939,-4.38375713732055
"Strc",1.40804624566074,-0.147766364294092,4.43369911300435,1.40394350719741e-05,0.0197462749862231,1.56290522116564,4.34324353751347
"LOC102916672",-0.441370546832555,4.9762967319553,-4.33434732855812,1.54302049702283e-05,0.0197462749862231,1.67201066381755,-4.32245573213777
"Psmb7",-0.372515603529911,6.70480893629385,-4.3299871952336,1.55807228946759e-05,0.0197462749862231,1.66196932934977,-4.32031415293022
"Dctn5",-0.24343178343392,5.40325799594059,-4.28844375436751,1.85170057930155e-05,0.0205211117247133,1.56957228305585,-4.28206117162469
"LOC102913339",-0.476129684688367,5.16932093438327,-4.29079623797216,1.89673494666162e-05,0.0205211117247133,1.50113850365315,-4.27671250646536
"Btd",-0.589226701750954,3.97869590245001,-4.28989523122835,1.97946362884355e-05,0.0205211117247133,1.47344438315775,-4.26719473237516
