"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"1","A2ml1"," 1.36319889"," 1.44486155","-0.13969193","-0.07675122","0.000357646640511756","0.98183715962546","0.000387826469719711","0.000357646640511756","0.98183715962546","0.000387826469719711"
"2","A4galt","8.774662","8.047537","7.779448","7.586546","0.100369202696881","0.291344672795992","0.0910833635469192","0.537083317016497","0.684461496400897","0.380559000008622"
"3","Aaas","5.450935","5.516611","5.505168","5.623887","0.762525584611752","0.762525584611752","0.503428402976391","0.871971895886653","0.503428402976391","0.503428402976391"
"4","Aacs","5.825290","5.840586","5.995190","6.080691","0.548280448474405","0.77189362064673","0.548280448474405","0.615597880872516","0.77189362064673","0.548280448474405"
"5","Aadacl3","0.8697290","0.8073739","1.9525584","1.9122151","0.0113119557801562","0.985939704399505","0.0137758867384306","0.0113119557801562","0.935743873543832","0.0137758867384306"
"6","Aagab","5.998755","5.894451","5.616529","5.754026","0.00280610649625314","0.347911331926281","0.0421253398158118","0.0155394689438783","0.203105732598448","0.203105732598448"
"7","Aak1","6.167045","6.087030","6.018777","5.931177","0.646412037498126","0.724270818142555","0.646412037498126","0.676629473400231","0.676629473400231","0.646412037498126"
"8","Aamdc","1.873850","1.989533","2.550895","2.893083","0.00283802781655351","0.679270198633241","7.11783579335645e-05","0.00555595002931576","0.0882708690441485","8.43438578836214e-05"
"9","Aar2","4.413418","4.130227","4.181170","4.121869","0.111273004130785","0.072253685019198","0.072253685019198","0.84134411483101","0.84134411483101","0.84134411483101"
"10","Aard","4.247772","4.695676","4.959499","5.624269","0.0913721962422799","0.210177483251173","0.00348634005050918","0.555411344360984","0.0913721962422799","0.0476976709921448"
"11","Aars1","7.138034","6.774226","6.712856","6.546374","0.215351568860693","0.235810298430825","0.0769510024434468","0.777487412453248","0.492831238247636","0.405438572323403"
"12","Aars2","4.439091","4.537237","4.447907","4.434673","0.913992290620238","0.814194933156083","0.913992290620238","0.814194933156083","0.913992290620238","0.814194933156083"
"13","Aasdh","4.253722","4.243543","4.027552","4.014861","0.036629690439846","0.919213545805433","0.036629690439846","0.036629690439846","0.919213545805433","0.036629690439846"
"14","Aasdhppt","5.529917","5.410409","5.232841","5.292628","0.00576100278197194","0.160895883929915","0.0267079476006912","0.102769875457383","0.44212716613266","0.287256445208975"
"15","Aass","1.492042","2.095352","1.914256","2.265473","0.625170256511843","0.625170256511843","0.625170256511843","0.760831187709224","0.625170256511843","0.625170256511843"
"16","Aatf","5.756585","5.547166","5.699002","5.627899","0.671280874932582","0.671280874932582","0.671280874932582","0.671280874932582","0.671280874932582","0.671280874932582"
"17","Aatk","1.8959229","1.4479148","1.0734317","0.8804219","0.00778327835342558","0.134348228508196","0.00454631809804737","0.148874567608765","0.581702096102424","0.0879200500519062"
"18","Abat","3.961065","3.370816","3.627165","4.021240","0.443393728559452","0.202430938466602","0.660543352591128","0.443393728559452","0.338085488812709","0.166999371917837"
"19","Abca1","6.258001","6.300179","6.814473","6.655128","0.104834769104373","0.706404328508283","0.190925703236855","0.113302747174052","0.562669591387346","0.269154895937477"
"20","Abca2","3.671203","3.126076","2.912740","2.591132","0.00859181314042694","0.0578632862404243","0.000497864881161181","0.273116614961875","0.205279316839654","0.0358694431237999"
"21","Abca3","6.857360","6.540221","6.696432","6.678390","0.660029114347806","0.643643705530968","0.660029114347806","0.660029114347806","0.761651191299273","0.660029114347806"
"22","Abca4","1.671858","1.516222","2.402340","2.206484","0.00608448800725071","0.478590067409929","0.0325917332995148","0.00136147467471021","0.47307348787395","0.00691173911053534"
"23","Abca5","3.594611","3.437126","3.530653","3.486177","0.875771769777145","0.875771769777145","0.875771769777145","0.875771769777145","0.905251684041138","0.875771769777145"
"24","Abca7","6.463687","6.638443","5.812976","5.868402","2.96146244539488e-06","0.106069265417274","7.51817348427958e-06","3.92473135142666e-08","0.814879425290343","8.93427721495001e-08"
"25","Abca9","1.726050","1.649895","1.957004","1.533149","0.965721726686393","0.965721726686393","0.965721726686393","0.965721726686393","0.965721726686393","0.965721726686393"
"26","Abcb10","3.918455","4.536156","5.121500","5.256634","0.00119623832293658","0.0592236254224951","0.000417037441773254","0.0829735684854756","0.463475466330323","0.029583714130366"
"27","Abcb11"," 0.947952147","-0.007951187","-0.009717692","-0.239407461","0.222812492932957","0.222812492932957","0.222812492932957","0.982104470970384","0.878683635254109","0.878683635254109"
"28","Abcb6","5.233138","5.086109","4.405886","4.410320","5.96499105111384e-08","0.21155683510788","1.46145684931739e-07","5.56996323390215e-07","0.758183611717187","1.9462689124701e-06"
"29","Abcb7","4.956173","4.736306","4.638866","4.590708","0.00303450157487929","0.0258388667872929","0.00195032794606121","0.376390915104674","0.603552856172762","0.205255255986821"
"30","Abcb8","5.566699","5.299984","5.427242","5.537761","0.173462768852774","0.0170325111243581","0.987457678645578","0.173462768852774","0.173462768852774","0.0170325111243581"
"31","Abcb9","1.800562","2.335265","2.595194","2.762991","0.0164291263193436","0.0936273438431569","0.0094869706903118","0.408809188559092","0.575731452313011","0.210319230202318"
"32","Abcc1","5.443545","5.425772","5.927764","5.801800","0.00534720615671523","0.891898770744617","0.0463648528471052","0.00534720615671523","0.351247269229904","0.0415170547586373"
"33","Abcc10","4.489354","4.484663","4.172884","4.266381","0.0551890726444692","0.878975457073941","0.0888103168628022","0.0551890726444692","0.76960599705024","0.0804898645323446"
"34","Abcc2","0.7141148","0.6791585","1.1116929","1.3693245","0.504425791160717","0.854151603832971","0.316484629304529","0.504425791160717","0.580918008060283","0.316484629304529"
"35","Abcc3","2.200553","2.512233","3.339168","3.451993","0.00485054480293964","0.493622795197536","0.00485054480293964","0.0175098383669394","0.807739546873499","0.0153304306167186"
"36","Abcc4","3.536104","4.052621","4.515830","4.714821","0.00572247702082807","0.115956421572211","0.00183871013515557","0.115956421572211","0.442168180378251","0.0394925868537216"
"37","Abcc5","7.008660","6.875479","6.653741","6.765550","0.126600360178303","0.583638372992855","0.16939576954375","0.16939576954375","0.583638372992855","0.372920449391179"
"38","Abcc6","-1.136655516","-0.008958232"," 0.683544967"," 1.057789358","0.000856698922160866","0.045940382706408","0.000192513535021897","0.0836399681646288","0.372420486771167","0.02013158989027"
