"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Etfa",0.532857367344553,6.32218467447743,5.05775477762731,4.51538912436999e-07,0.00470587621811823,4.01944569712184,5.04583756343033
"LOC102910793",0.74268933271153,0.243313919244522,5.05657184561498,6.84379081481102e-07,0.00470587621811823,2.99652864579515,4.96574478528654
"Mtfmt",0.3276730333717,3.8074239930461,4.95346690898932,7.62159088555135e-07,0.00470587621811823,4.03984876741759,4.94481576622002
"C5H7orf25",0.409630889098966,3.52812609553733,4.91939887037852,9.07900683570777e-07,0.00470587621811823,3.95625608393427,4.91061742494676
"Trappc3",0.515442744914782,5.21720769093378,4.87060833505084,1.16287537722314e-06,0.00482197903919346,3.52831676359956,4.86186054689804
"Ilk",0.407470771727942,7.5522790366684,4.62262337443948,4.20246522635382e-06,0.0145216185896656,2.28650133947393,4.60110944836501
"Cenpx",0.509990375060428,5.16302918358593,4.54452446654037,5.7532961819538e-06,0.0148789634405004,2.37543659771182,4.53525855209051
"Tmem223",0.328585932363649,4.70856700258259,4.53435576291871,5.89798274756211e-06,0.0148789634405004,2.64273129855047,4.53001382302613
"LOC102906340",0.470633317905834,2.75167159529697,4.52069196889206,6.83998068793354e-06,0.0148789634405004,2.1230913488515,4.49860812259982
"Ppp1ca",0.382100892886728,7.87543595912928,4.47580702022245,7.79025945064851e-06,0.0148789634405004,2.38514413416394,4.47086848631949
"LOC102921396",0.466724831144457,4.62644011367463,4.46213601872613,8.53490534633929e-06,0.0148789634405004,2.08039734319518,4.45130742084863
"Kin",0.386730486472871,3.53246081142729,4.46548215096069,8.61175716423116e-06,0.0148789634405004,2.02236075484797,4.44938239016962
"Clp1",0.475614320435899,4.35715552717684,4.39053786905592,1.23233396784259e-05,0.0196538308886772,1.64673890208491,4.37178757328484
"Oxnad1",0.398708676162673,3.68860099369453,4.3599934858677,1.36850659761568e-05,0.0202666052059756,1.81737050287388,4.34885418822819
"novel_gene_NC_056009.1_4492",0.45763010007533,2.96320224704185,4.34613853858467,1.49805672145993e-05,0.0207061400040191,1.6599519722823,4.32897391793283
"Ykt6",0.449041211583062,6.96441144345952,4.32045711675119,1.63527405009781e-05,0.0211900855504237,1.59007078176037,4.30963068127391
"Pmpcb",0.59776720978895,5.94413614617647,4.28463250561066,2.06060076470258e-05,0.0251308445026933,1.12935544451211,4.25822111863677
