"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"novel_gene_NC_056014.1_26268",0.651765456567885,3.47078895287682,5.76335920710729,9.08705656598717e-09,0.000188401943782612,6.95905798452084,5.74694445130991
"Hacl1",-0.709184472763438,3.6783922172591,-5.14631008546321,3.25873927296996e-07,0.00272127471984891,4.18305645276943,-5.10783331092934
"LOC102910403",-0.545203194451519,5.01388266371844,-5.101307598589,3.93759907372147e-07,0.00272127471984891,4.01596739555895,-5.07194997631487
"novel_gene_NC_056021.1_18778",-0.490553961248982,0.277658483545607,-4.88951731896178,1.42676791902945e-06,0.00739529481630937,3.42088933877072,-4.82122852609326
"Ykt6",-0.341964868701536,6.96441144345952,-4.69276073658817,2.86798674714826e-06,0.00977366048358008,2.81317285443525,-4.68005449495425
"LOC102922429",-0.409397899460204,4.85707910854337,-4.67201506673033,3.19055951377666e-06,0.00977366048358008,2.74920021995976,-4.65815500154217
"Ppp1ca",-0.279283584805479,7.87543595912928,-4.63052051220817,3.74031438251153e-06,0.00977366048358008,2.80828849384406,-4.62531393881148
"novel_gene_NC_056019.1_18807",0.719472633354907,-0.608782598056891,4.72934368696223,3.77124795585013e-06,0.00977366048358008,2.62169969928908,4.62360659844817
"LOC102912340",-0.685077286698055,2.38425865189262,-4.54732069573326,6.31603414855563e-06,0.01316644343086,2.40001108340859,-4.51552417155448
"Btd",-0.600797294717913,3.98547941038826,-4.53768124272848,6.39087784977612e-06,0.01316644343086,2.25528073549343,-4.51302734505012
"Kin",-0.275889483713589,3.53246081142729,-4.50995478264928,6.98552441708677e-06,0.01316644343086,2.29330105675127,-4.49412909198374
"Taf1b",-0.393849810118189,3.39644531438763,-4.45908763781047,9.15008438606324e-06,0.0158090582980208,2.05568218240363,-4.43634104485443
"LOC102913339",-0.467768794815134,5.19586268116118,-4.42383983891904,1.03665832509135e-05,0.0165331054262454,1.91704080236887,-4.40938240228608
"novel_gene_NC_056010.1_20627",2.18711107359584,-0.407264015076217,4.49026711464179,1.19239311697506e-05,0.0175703286708955,1.74979987988943,4.3789740797368
"Nipsnap2",-0.328573689619781,5.13049074199397,-4.36049896940594,1.33986345197262e-05,0.0175703286708955,1.79127822035544,-4.35349141432447
