"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"LOC102913622",4.2039349960847,1.69446063113332,36.9475295872027,9.09120363483339e-196,1.95869982312485e-191,102.89865163945,29.848829614225
"LOC102906033",4.56298585763863,2.80553684383338,36.4585023497494,3.72795076222283e-194,4.01593495860454e-190,93.7870262910373,29.7242919089409
"LOC102928213",3.48920094820076,4.0236023673606,30.4342775637136,1.04357684400547e-166,7.4946210346993e-163,82.4277138447769,27.5188841113241
"LOC102913928",6.128386409698,2.29579414064018,35.8504099821298,6.61884072403908e-140,3.56507308498555e-136,77.3282306190994,25.1800943853852
"LOC102905546",3.14811046714345,3.1744465717122,23.1396106607068,1.51270848859171e-90,6.51826087734166e-87,57.8447460793743,20.178498783854
"LOC102924108",2.69095597762188,4.59221291662226,21.6433218919876,5.76938421648501e-89,2.07168971573616e-85,55.251091749078,19.9976806222858
"LOC102926073",2.97061057667111,2.07145959611518,18.9990578193657,1.38747655097385e-63,4.27045461296167e-60,49.2419010562768,16.8334616619794
"LOC102915711",2.53629412160862,2.64114441157174,17.8204109675353,2.51079256475125e-62,6.76187822594571e-59,49.3491426265234,16.6611665136093
"Mettl24",2.20972567398027,6.59402384620592,17.5455559558619,5.57250246006917e-60,1.33399517224656e-56,42.5985838500536,16.3348984040297
"novel_gene_NC_056010.1_37714",4.13061832403646,1.15990458143454,21.1805465937917,3.21788206877802e-59,6.93292691718225e-56,49.4076371544918,16.2276017991967
"LOC102920302",3.3910956754841,2.5001147242008,17.8567775431136,3.88034730392899e-57,7.60018933301365e-54,45.3900266767241,15.9306926685941
"LOC102926317",2.32067240983881,6.51251928862584,16.9894453299727,1.18404735215302e-55,2.12585835017807e-52,40.8083890287749,15.7155205245819
"LOC102922893",3.33991351059401,4.03891407680916,16.1866503728555,2.65483395226301e-54,4.39987673088512e-51,43.6507329146031,15.5171752075214
"LOC102911735",-1.98295232193202,1.35813345674893,-15.8778605415181,3.04054298716835e-52,4.67917847561016e-49,49.4033619100725,-15.2098898499203
"LOC102922385",4.51263987266138,2.60488272340705,16.694137586769,8.79865420839093e-51,1.26378003279855e-47,42.1809341973042,14.9879817095025
"LOC102904932",1.64332370035795,5.43641772839737,15.2230904674652,1.90370144979901e-49,2.56345298349498e-46,38.98370491453,14.7823623469743
"LOC102922070",3.68430131331769,0.831402566349818,17.0073431846416,2.04524513741804e-48,2.59204744033363e-45,42.7382919828251,14.6216039690866
"LOC102910884",1.38554294003233,2.57630869565989,14.9959976256775,2.71915941105407e-46,3.25468275062e-43,40.2988834463824,14.2848701251276
"LOC102927034",3.00554335055801,2.87857507922115,15.0247571194133,3.10666860038433e-46,3.52279868396213e-43,39.9151159183305,14.2755856631099
"LOC121831462",-2.80190832224553,0.526066639114681,-15.1739726671519,3.39445643074956e-46,3.65667819002496e-43,44.0432362444711,-14.269408466435
"LOC102921505",2.258654459716,1.74728719737872,14.7119401224448,7.92449967286745e-44,8.13015930723472e-41,40.1857319742977,13.8839574657712
"LOC102925104",3.07061316264823,3.17354054018362,15.0788257037261,5.17740474562097e-43,5.07032660201835e-40,36.697319116136,13.7488100925924
"LOC102922209",3.08067728306686,5.03347763698761,15.1807489307985,9.74462940132696e-43,9.12817567180824e-40,35.577560016777,13.7029764478819
"novel_gene_NW_024590034.1_81",-3.09433958602055,0.410610417985267,-15.7079757650147,2.45047262045848e-42,2.19980969199075e-39,39.0794468570713,-13.6358710787574
"LOC102909749",2.69403756846439,0.767503895859688,14.5617695154171,1.64028828156872e-40,1.41360044105592e-37,38.1794926179426,13.3257262188885
"LOC102918638",1.61050771189845,5.03442593878231,13.5031744270772,2.86757700696022e-40,2.37622871595992e-37,35.4097910840796,13.2839751398261
"C10H5orf52",-2.65402761553963,2.8276086930747,-13.9492702339277,4.95466084554978e-40,3.95363584879148e-37,35.2100048024265,-13.2429750047332
"LOC107402193",-1.65012366714954,3.67396110765667,-13.9035774343281,6.84914430905972e-40,5.2701719335247e-37,33.9418235514986,-13.2186396680209
"Spr",2.3144994258104,1.3601804034743,14.0926872331185,2.07274507924067e-39,1.53990664593932e-36,36.8383990660518,13.1350791824794
"novel_gene_NW_024598471.1_2",-1.49016121017062,2.59215592485713,-13.1945971447418,1.03902375858014e-35,7.46192229286969e-33,32.3530267838101,-12.4736888606011
"LOC102920512",3.67091218706118,2.25212047201809,14.8908848966855,4.67910896166611e-35,3.25198072835794e-32,34.0378912072095,12.3532353867844
"LOC102926756",4.38177838774933,1.41232413782611,13.7232242078256,7.40462041474826e-35,4.98539208861722e-32,33.2003634086745,12.3162636359995
"LOC102927525",3.44712989664375,3.08452542800086,13.0795821409064,1.59691967728168e-34,1.04259498324345e-31,31.4983537041569,12.2541104759295
"LOC102928417",4.29505216478179,1.83125559977404,14.2461807419259,1.98093109724078e-34,1.25526942617802e-31,33.1893667942185,12.2366278541633
"Nfatc2",1.46766256410089,3.30059342270166,12.7973799358072,3.59633984214273e-34,2.21380405425615e-31,30.7892767449703,12.188117301203
"Echdc1",-0.671510239100921,4.9314051102472,-12.115123834695,5.20797733927027e-33,3.11682977151605e-30,30.5482961945206,-11.968308115338
"LOC102929028",2.44999105889427,1.76052939913568,11.9188446940304,3.60605011517016e-31,2.09979323598219e-28,32.5560764871205,11.6114134110162
"LOC102903718",-3.62719390004337,0.866524291661006,-12.5773003912976,6.40396608422811e-31,3.63088024433407e-28,30.2545861714855,-11.5622092842404
"Thap6",-1.28067331162483,4.82228419113156,-11.9193080645602,1.02154251033563e-30,5.64336753466184e-28,27.298250199736,-11.522047528658
"LOC102919021",-3.13591334222928,4.40013724561984,-12.5323519762627,1.54317771321452e-30,8.31194095780171e-28,28.0627770542138,-11.4864536332747
"Adam22",1.5020673430157,3.37767047396227,11.8706411801034,4.58694033943764e-30,2.41038121007766e-27,27.8555761989083,11.3919340042627
"LOC121821275",-2.26513556478554,0.126528099154296,-12.1614927667411,6.30080669397195e-30,3.23216381480061e-27,30.5086898703874,-11.3642433253705
"Ttc24",2.36075986380542,0.824330079899536,12.1247302046923,7.61248759018442e-30,3.81421035187264e-27,29.9480633100176,11.3477164619537
"LOC102916938",1.8162283694741,3.79585888589013,11.6950255959612,2.13365621750554e-29,1.04476416377629e-26,27.0998740510452,11.2572277011466
"Bivm",-0.951373814157021,3.94701640724414,-11.4585491502494,2.65363424859236e-29,1.27050110857605e-26,27.5830612075984,-11.2379872996973
"novel_gene_NC_056015.1_39871",1.76600453609481,4.05339142922257,11.5212479627044,3.75259135317716e-29,1.75759958052613e-26,26.9932852295885,11.207350351914
"LOC102909744",2.04699691513256,0.176119131242465,11.6028061515383,4.56466489560311e-29,2.0924618122504e-26,31.7111127374149,11.1899936181147
"LOC102903947",1.84916297708736,2.95932164949056,11.7000418208409,9.97098546736003e-29,4.47551837279733e-26,27.1359152454094,11.1205015628968
"Katnal1",-1.98698660590046,3.70367805803281,-11.7136923813439,1.11494052456676e-28,4.90232522485527e-26,26.3994967617984,-11.1105313796229
"Fhad1",-1.75955636324411,1.27650670287562,-11.3528478256839,2.08239638132111e-28,8.97304600711266e-26,30.2880179066011,-11.0546101126917
"novel_gene_NC_056022.1_13723",-0.990369719313828,3.81508580030052,-11.526184833654,2.71847375600303e-28,1.14842190339383e-25,25.9873834739489,-11.0306650151733
"Fam110c",2.26166322999284,1.08566896312061,12.1355435410418,2.77608184593973e-28,1.15020544943791e-25,28.2046675941945,11.0287790533306
"Ptar1",-0.870528882473125,5.4791385596048,-11.0705944118206,1.70326165446478e-27,6.92391931046108e-25,25.0517636798347,-10.8644069710558
"Ccm2l",2.04889244773595,0.850487797762194,11.4519174124635,1.877701745764e-26,7.49168224305286e-24,26.7554159265729,10.6431028624458
"LOC102918495",-1.21107026654062,2.50688038424934,-11.1035471622256,2.64874404541346e-26,1.03758528106242e-23,25.3633422728212,-10.6110085329218
"Jagn1",-1.25891457519745,3.65887270434352,-10.7396770642976,3.71625549700968e-26,1.42976294076917e-23,25.6981076697954,-10.5793250611591
"LOC121827898",4.28224910733726,2.56347912091877,10.9598536405205,7.42522647172905e-26,2.8066053391825e-23,25.4819667937434,10.5142716939303
"Ost4",-1.29662060211109,6.40616019715128,-10.6784162979066,9.3501655257301e-26,3.47151239502254e-23,23.728021744902,-10.4925191275849
"LOC102923285",3.72903632470095,2.95985887195688,10.942764293111,9.50657838506984e-26,3.47151239502254e-23,25.0100812027344,10.4909518756357
"novel_gene_NC_056026.1_7664",1.84792836897206,0.38386701930309,10.9281682398275,1.73544294592894e-25,6.23168637833984e-23,26.7824357485316,10.4339375132579
"Col17a1",-2.23704371138607,2.70146817004042,-10.9749024347688,1.9407872051707e-25,6.85479677629552e-23,24.4536657079363,-10.4233100466251
"LOC102920010",1.25379481654893,1.29397019556958,10.7861590822432,2.69176950713297e-25,9.35389903728705e-23,26.1804025522754,10.3921634723298
"novel_gene_NC_056029.1_1051",-1.79725584795145,2.02656454284686,-10.9363452068488,9.85357689284613e-25,3.36976689137095e-22,24.3136569833659,-10.2676900091587
