"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"EI127_mgt12",-0.1916597939301,6.34216965447693,-6.65299128364769,2.9039736521043e-11,3.28908318328745e-07,7.41792197060033,-6.65135981639039
"novel_gene_NC_056028.1_20073",-0.87611358089645,1.07886096538889,-6.61694533240286,4.82323143238319e-11,3.28908318328745e-07,6.119960153894,-6.57629254677211
"LOC102926631",0.300643803674241,1.78615795657277,6.58051129010065,5.02820997762014e-11,3.28908318328745e-07,7.65083913896405,6.57009817079084
"Parm1",-0.314212972683957,8.59926995019864,-6.54536384693923,5.97689111991177e-11,3.28908318328745e-07,7.81238154648982,-6.54431447242064
"LOC102913057",0.285657976376408,4.82864800127205,6.3407277573545,2.37320569799727e-10,9.11718233702571e-07,5.75854626083283,6.33501345035982
"Pop7",0.226109007538138,3.57204542215895,6.3197226974476,2.66408885514538e-10,9.11718233702571e-07,7.05718121953828,6.31716280617507
"Lzts2",0.209069111817693,7.62084642218465,6.30544135520153,2.89934019440214e-10,9.11718233702571e-07,6.48437634120118,6.30406755718382
"novel_gene_NC_056016.1_22364",-0.24219587163982,3.44205107906055,-6.23078804355241,4.71683228402947e-10,1.29783640295071e-06,6.85506002481909,-6.22824693177821
"Mrpl52",0.284949412424193,3.98440602569802,5.99949664212034,2.01008164854479e-09,4.91621302752977e-06,5.71538201028977,5.99699021710598
"Rhog",0.210062428108488,5.14307619431417,5.92741310836348,3.10348119615886e-09,6.83138280898489e-06,5.48582757995879,5.92602883262625
"Mbnl2",-0.207926988369222,6.37281071107444,-5.89667924035337,3.72307484116456e-09,7.05344141489314e-06,5.80159080188502,-5.89604943081379
"Npm3",0.247913434473534,3.66893968041012,5.89769124451397,3.84523428033426e-09,7.05344141489314e-06,4.72550703925712,5.89071706149305
"LOC102915560",0.331510806526702,3.13608370849328,5.82754200962996,5.74315473805526e-09,9.72448631492865e-06,5.34700017376046,5.82406986938981
"Mblac1",0.401587257217793,0.941510450889281,5.75851336757384,9.24135706697874e-09,1.4530053697024e-05,5.11048615704669,5.74409559713001
"LOC121823896",0.340847840145677,4.80488937348577,5.61449785472918,1.99395242303172e-08,2.92605871571828e-05,4.37682566560877,5.61252512921324
"novel_gene_NC_056008.1_68229",0.278113389859997,2.46736593561242,5.6015151916813,2.17172725836355e-08,2.98775377569365e-05,4.93592710516545,5.59773311672039
"novel_gene_NC_056024.1_6055",-0.278242755299432,2.18980551799916,-5.5875480422596,2.36538412728015e-08,3.06275502409945e-05,4.87152920122927,-5.58290172969151
"Slc35e4",0.291048243245717,4.98908861927843,5.5677675783727,2.59270583201674e-08,3.17059115413069e-05,4.73660608542985,5.56692724424034
"Sf3b5",0.296573389199175,4.17598216671526,5.5411000756143,3.0323199533164e-08,3.51302246381056e-05,4.52956621100296,5.53956031674266
"Pigy",0.273109568179653,3.1875969013626,5.53479171033448,3.26653024415827e-08,3.52370813815126e-05,3.75543925943948,5.52651570877097
"Pgls",0.271627988233764,3.36976450775849,5.52735830648969,3.36170592863785e-08,3.52370813815126e-05,3.90156926616698,5.52147241685405
"Rpp21",0.299922310126163,2.37231587221707,5.5040722996414,3.79354167573721e-08,3.79561088028761e-05,4.64429383344035,5.50020303415892
"novel_gene_NC_056016.1_19903",-0.227467404484311,3.40923740013867,-5.47266612127146,4.47775382652471e-08,4.26674202229608e-05,4.58081783574248,-5.47089229090836
"Arhgap45",0.423963656036779,6.2854961138431,5.46525304961136,4.65209015696466e-08,4.26674202229608e-05,3.99362618970053,5.46411990648673
"Palm",0.283551964496684,5.72706985112635,5.45173080416033,5.01309763582448e-08,4.41393220639074e-05,4.13762101033744,5.45084525886969
"EI127_mgr01",-0.177378394962314,12.9855495860115,-5.42314702350818,5.93495518090486e-08,5.02462436315683e-05,4.28623311699655,-5.42074987429749
"Rps15",0.318253152778156,6.37390537439614,5.39235652159077,7.00439665451335e-08,5.71039922811659e-05,3.70929289368153,5.39105824184615
"LOC102908915",0.277642199692759,1.8701216645539,5.38864231476817,7.35350893263265e-08,5.72206671747663e-05,4.1116120484514,5.38231217866181
"LOC121824112",0.29163640602713,3.40576897484249,5.3802942734956,7.53861233903427e-08,5.72206671747663e-05,4.03144313940327,5.37783674826357
"novel_gene_NC_056019.1_4936",0.482111022809638,0.56519517797915,5.36926713338187,8.80096979149865e-08,6.31343910269829e-05,3.7177839597053,5.349885908993
"LOC102920404",0.437594641385617,2.274126050047,5.35165654979955,9.03213455182052e-08,6.31343910269829e-05,3.76124453719718,5.34519182985234
"LOC121828581",0.25541223795213,3.42623368929214,5.34257907416431,9.32221178716119e-08,6.31343910269829e-05,3.74497226604687,5.33946333866738
"Etnk1",-0.322663894656984,8.23005594531367,-5.33723953388317,9.46499592899525e-08,6.31343910269829e-05,4.09489619246864,-5.3367067009069
"Mfsd5",0.228187612068378,5.05194245813007,5.32180359005528,1.03490320014795e-07,6.70008507107547e-05,3.65330610467853,5.32048616390476
"EI127_mgp11",-0.174348845762748,12.0860500305333,-5.31028368994508,1.11565227134626e-07,7.01649651339256e-05,3.51698080327006,-5.30680203765505
"novel_gene_NC_056024.1_2266",0.248016930544866,3.62164970488855,5.28734836865313,1.26753547947353e-07,7.54653981937075e-05,3.3891490144482,5.28347878577294
"LOC102908479",0.203414153155765,2.69432072090822,5.28601962218832,1.26849887932363e-07,7.54653981937075e-05,4.02132399349903,5.28333966106231
"Sppl2a",-0.157670081559826,6.26088551932409,-5.27350392869081,1.34653190332676e-07,7.7999632252707e-05,3.43351717859125,-5.27239729893085
"Mrpl11",0.13739168677024,4.22505182108867,5.25705536963831,1.47122870975814e-07,8.30376573312725e-05,3.90939645280188,5.2561243018428
"Snx14",-0.172841405506778,6.22370472410639,-5.25251684783084,1.51337272099688e-07,8.31606369152462e-05,3.23662218184459,-5.25092502766166
"LOC102915430",0.279673232478474,1.35045099823131,5.2546156176902,1.54896697870484e-07,8.31606369152462e-05,3.77834158147107,5.24664172993706
"LOC121826083",0.260444792284885,5.30448823698988,5.22092007671997,1.78697244646955e-07,9.36543749802091e-05,3.62207807137591,5.22023395344826
"Parp16",-0.236488953706359,5.81496975181739,-5.21081759226852,1.8849094532093e-07,9.5602735477581e-05,3.70365144687458,-5.21034386957247
"novel_gene_NC_056022.1_4254",-0.187554989434157,2.80644639487219,-5.21015150935729,1.91101233918479e-07,9.5602735477581e-05,3.8005951155398,-5.2077917398697
"Ost4",0.22075069374779,6.03462453857667,5.19841362337998,2.02322806669165e-07,9.82644807522054e-05,3.18833144385117,5.19719067776125
"Atg101",0.236812241789447,4.83543055955197,5.19520581440916,2.05350086979895e-07,9.82644807522054e-05,3.59366150102126,5.19442812593428
