"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"novel_gene_NC_056011.1_10722",-0.438602440633565,3.67131043326803,-10.8134802346702,3.8314017747811e-27,8.14632645353957e-23,18.451029697883,-10.7901556282861
"novel_gene_NC_056020.1_2524",-0.857336512417251,4.50295188460606,-9.75883245566326,2.17993819247903e-22,2.31749229242446e-18,14.1353141810543,-9.73303319153106
"Ube3a",-0.340212795264062,4.86017890590148,-9.5995063551861,9.17566149182038e-22,6.50309715463616e-18,14.5976954611076,-9.5857856526973
"LOC121822685",-2.17550138492458,7.22330422839698,-9.20142532110242,4.34512361421327e-20,2.30965045713506e-16,12.9362006802488,-9.179148811642
"Tmed5",-0.465854788269475,6.09884884123624,-9.07088762984303,1.5123575455715e-19,6.43114922678823e-16,11.962855367807,-9.04385939697418
"LOC121826663",-2.20044037263746,7.10324728514292,-8.72183611999988,3.20088668223493e-18,1.13428754396132e-14,11.927288650822,-8.70410568549347
"LOC121832689",-2.08412161330475,6.00660112201335,-8.6483903369554,5.9787695859254e-18,1.67792456572204e-14,11.7224213201605,-8.63295359537612
"novel_gene_NC_056017.1_2701",-2.08343350046874,6.00423413254409,-8.64211976663437,6.31332730964927e-18,1.67792456572204e-14,11.7086225089307,-8.6267258328575
"Fam76b",-0.455438282010413,5.00661276505175,-8.60501556595239,9.28920016418027e-18,2.19452193212001e-14,11.0773502956662,-8.58242710003115
"novel_gene_NC_056031.1_13859",-1.50826082189148,6.41536768931294,-8.25443676889444,1.64483088480804e-16,3.22592264580357e-13,11.2903373804064,-8.24549123167773
"LOC102904277",-2.18017213678405,3.79570111488938,-8.28244964822397,1.66894690545759e-16,3.22592264580357e-13,10.2998465731332,-8.24375070934133
"novel_gene_NC_056023.1_11749",-0.458401240236121,2.46569752779386,-8.23447564989296,2.05345837768225e-16,3.63838600218999e-13,12.7429653915079,-8.2189189021947
"novel_gene_NW_024592782.1_8",-1.46001687120389,7.87782550771698,-8.17973020536333,3.2253124474214e-16,5.27512255823644e-13,10.8045127845291,-8.16458908072956
"LOC121830738",-0.378404992471006,2.9855131955823,-8.16051049933648,3.76034714409478e-16,5.71089292698166e-13,11.9009094660274,-8.14604034602748
"Hipk3",-0.247234763061674,7.18053037194556,-8.12388137681617,4.72466010511166e-16,6.69704821032561e-13,11.8275716647293,-8.11837525231967
"Hacd1",-1.7161920220385,4.24492706212765,-8.14119686042719,5.15711131513275e-16,6.85315629889704e-13,9.86070760164069,-8.1077372306816
"Prpf39",-0.303098410150692,5.63304820278291,-8.10343077677641,5.68541143205341e-16,7.11077752166585e-13,10.8796672211245,-8.09587514538929
"novel_gene_NC_056016.1_20093",-1.48703385518449,7.73882068983803,-8.09284984425481,6.4171826843847e-16,7.58011879085486e-13,10.8545719388555,-8.08112531061279
"Ptges3",-0.25971078103781,6.96210904201267,-8.06658936968025,8.12227906922041e-16,9.08925776682971e-13,10.1978897562903,-8.05234466396526
"novel_gene_NC_056019.1_11415",-0.398879087564452,3.04301439792687,-8.10936690413313,1.01015560158307e-15,1.07389642004297e-12,9.16505162807361,-8.02561866011558
"novel_gene_NC_056021.1_8391",-1.9263789809557,2.29120729492726,-7.93259063186964,3.80791657458324e-15,3.85542486708518e-12,9.33086081868814,-7.86109440248511
"Rsbn1",-0.372203563352485,4.1116377498319,-7.85427562980532,4.89050252087229e-15,4.72644839085394e-12,9.35612418448984,-7.82969619940399
"novel_gene_NC_056020.1_563",-1.11835661532959,6.44478425942642,-7.83167812493975,5.15170536566598e-15,4.76241562977348e-12,10.0415803277788,-7.8231514720454
"Rab6a",-0.204545236306112,6.78629750630551,-7.80085984302867,6.5939193590808e-15,5.84166305886566e-12,9.92900617639748,-7.79203359701502
"Pphln1",-0.23918116746056,4.71185782230434,-7.75639468511227,9.11536559863356e-15,7.75243613432587e-12,10.557416733106,-7.75102511261496
"Vamp7",-0.488748111961565,4.65531498390361,-7.75947700024553,1.2741579942856e-14,1.0419672028654e-11,8.4312503891696,-7.70838907236842
"novel_gene_NC_056025.1_11198",-0.412464606965968,3.24725324345192,-7.66037750591921,2.07268499351856e-14,1.63220104934043e-11,9.978448285109,-7.64603672134938
"Zfr",-0.206593881282071,5.98484270485978,-7.59844775959162,3.16468094924138e-14,2.40312308367036e-11,9.445173438346,-7.59139969749641
"novel_gene_NC_056008.1_3171",-0.399873513795654,2.95310061943133,-7.65320182557789,3.60211422217451e-14,2.64097077903015e-11,8.16593060421687,-7.57460879409307
"Matr3",-0.243073444856699,6.90970325409374,-7.5940066076401,3.81605297936169e-14,2.70456394823961e-11,8.44109339564178,-7.56711457905801
"novel_gene_NC_056020.1_15204",-0.725741150297023,-0.268642558506917,-7.52852586185341,8.40490643735356e-14,5.76468131196811e-11,10.5758131312212,-7.4638205312099
"LOC102915319",-0.379453301698778,4.20166136388133,-7.32127585013854,2.65556568536277e-13,1.76445742506822e-10,8.65880702953989,-7.31079998886207
"novel_gene_NC_056011.1_922",-0.432237066309718,2.62822923787909,-7.26139079111036,5.26686526476031e-13,3.39345725028284e-10,7.89810879987785,-7.21822982071662
"LOC102910326",-0.54010912941294,4.55362252838637,-7.2496876451234,6.62117469560867e-13,4.1405710699421e-10,7.13342096351784,-7.18703849603142
"Srsf10",-0.391916575329871,6.27440223785521,-7.11891494199666,1.43906270230702e-12,8.74210033612908e-10,7.05775668502545,-7.0802387939798
