"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"novel_gene_NC_056014.1_24229",0.37036522841353,0.640689790618049,5.82401934469265,6.3673636766366e-09,0.000113596420282183,5.42427785501914,5.80681180588753
"LOC121825004",-0.446888279626631,1.05216358375908,-5.67912815578762,1.4574253948154e-08,0.000113596420282183,5.10745794316925,-5.66650151947778
"Nos3",0.479900007014504,3.28908479313114,5.65666333472626,1.60280905298913e-08,0.000113596420282183,4.42591284797949,5.65017893739487
"LOC102922471",0.730641661813443,-0.206374199331049,5.50915479284573,7.00076650085241e-08,0.00037212574335281,1.95686978112265,5.39115138582099
"Natd1",-0.42640164075632,7.03550963296116,-5.28994480844874,1.23495731661353e-07,0.000525153249316736,3.668122124954,-5.28824465279221
"Spty2d1os",-0.613195601062348,-0.445669574797104,-5.11910348611976,3.59208419389651e-07,0.00127291490217713,3.03585016184175,-5.08939461380131
"Ctdspl",-0.527570099000067,4.27961453473471,-4.82429418476475,1.41240520647492e-06,0.00429007992858139,2.70137188818179,-4.82324610620575
"Dynlt2b",0.526728590219991,2.28965348089649,4.66256530363971,3.53079830041733e-06,0.0085358291537286,1.08974924645617,4.63724732594136
"Hypk",0.199970080541084,4.72059000296483,4.62551921726232,3.76161637638116e-06,0.0085358291537286,1.81490874143692,4.62413675784539
"LOC102907965",0.412101158368751,0.0803610218430302,4.62478807489475,4.01459371353993e-06,0.0085358291537286,1.92693444377398,4.61062540650713
"LOC102912630",0.284985786406034,3.00640539427027,4.57384214013055,5.03403853232538e-06,0.00973033884311839,1.2402821061113,4.56336416152555
"LOC107401520",-0.984346546557795,1.05995544563215,-4.53609090198941,6.62710640976622e-06,0.0115433418515833,0.833261466074146,-4.50532618948262
"Znf182",0.211963761043888,3.18478838192491,4.49360330432228,7.05782353826465e-06,0.0115433418515833,1.73425475565604,4.49193720597043
"LOC121828841",-0.357087095899423,0.21937872701226,-4.46025091749372,8.82218627949189e-06,0.0131510369174715,1.29874439739211,-4.44419426800855
"Smpd4",-0.196249709292655,5.34573020985053,-4.43319349127769,9.30753937497246e-06,0.0131510369174715,1.48457363532168,-4.43266506913335
"novel_gene_NC_056013.1_19226",0.254716951349978,2.57711915154737,4.43094845019875,1.00144130882973e-05,0.0131510369174715,0.809200002075244,4.41686197700108
"Atg3",0.170071276487571,6.16947308600352,4.40540942256105,1.06180768705142e-05,0.0131510369174715,1.12909208841378,4.40418813326971
"LOC102921050",0.515477296062512,0.462284315729755,4.42533785433746,1.11334147547026e-05,0.0131510369174715,0.611047487275188,4.39390175149135
"Gbf1",-0.164027985879101,7.25089924379165,-4.34381346797387,1.40807166106678e-05,0.0157570629776852,1.01201396871484,-4.34259874203914
"Mau2",-0.193831448918202,6.4431498501661,-4.25216250493075,2.16311069952051e-05,0.0229960298466026,0.513620593529081,-4.24735292780849
"Ddx6",-0.164600596807787,6.80833641661157,-4.1972773981671,2.73197787111896e-05,0.0276606254741578,0.472990051117476,-4.19472919371343
"novel_gene_NC_056014.1_12768",-0.436201958459828,1.56650460099288,-4.1989517557699,3.05075720077557e-05,0.0288239235983704,-0.00878763419351358,-4.16964406538722
"Slc17a5",0.358299672828693,5.3505462951878,4.16870318407033,3.16752147938961e-05,0.0288239235983704,0.243398007129712,4.16107563635951
"Znf358",0.351999731695687,3.20075152197637,4.15977365997646,3.25357053128064e-05,0.0288239235983704,0.425866851928395,4.15495114558552
"novel_gene_NC_056012.1_29678",1.07909166671297,1.83912719492362,4.140003682538,3.8864673628324e-05,0.033053627627417,-0.103539409569154,4.11412741360574
"Rbbp5",0.105375239899849,5.35324682778676,4.06966829798114,4.72265576089644e-05,0.0368637064269764,0.312970481179052,4.06894467994575
"LOC102917249",0.392461886941415,1.78565383761495,4.1005756725545,4.85465701651673e-05,0.0368637064269764,-0.403827462792576,4.06251623504603
"Map4k2",0.220205558113861,4.93880012014019,4.05689454306922,5.00639643482231e-05,0.0368637064269764,0.194773770094142,4.05532817018153
"novel_gene_NC_056015.1_13864",0.356346000059919,-0.390935543634831,4.0664891005841,5.02797237504617e-05,0.0368637064269764,0.494267422624628,4.05432290725318
"Selenop",0.771980265514727,9.72524096412356,4.01422424741014,6.08554304943413e-05,0.0412505301712082,0.0520324603156412,4.00946904189962
"Ndufab1",0.201776868390259,4.353358073263,4.00734904392847,6.20234115460855e-05,0.0412505301712082,0.0605566502848474,4.0049773967308
"Lrrc28",-0.275620169563444,3.29431965077386,-4.00852612435367,6.34358146095358e-05,0.0412505301712082,-0.0917638538387937,-3.99965155136786
"Lonrf3",0.5466509988951,4.77363585106834,3.99758283870581,6.47944337064054e-05,0.0412505301712082,-0.0112605978124076,3.99463339231915
"Spart",-0.158414088638177,5.64272624041548,-3.99082538893255,6.59635982419846e-05,0.0412505301712082,0.16377433843049,-3.99039409594341
"novel_gene_NC_056011.1_9189",-0.170581596729221,1.5170317539756,-3.96488438280011,7.44016186662236e-05,0.0423993598715115,0.327432679529427,-3.96175257956289
"Plrg1",0.200715047098018,5.01717144854924,3.96450780635266,7.47054877636261e-05,0.0423993598715115,-0.124215488572052,3.96077951848046
"Rpl29",0.305127525864075,7.33113373705475,3.96555478380537,7.6006624803239e-05,0.0423993598715115,-0.240715447901423,3.95665485234914
"C18H12orf73",0.329854632772259,3.59879356065003,3.97982267717827,7.66873783678698e-05,0.0423993598715115,-0.50988019817725,3.95452336294916
"Wdr45b",0.108871076722594,6.06154022875323,3.951808140021,7.7771377809658e-05,0.0423993598715115,-0.0131626094166597,3.95116592895444
"novel_gene_NC_056013.1_7952",0.179198050698773,1.36036370292606,3.93783599226462,8.33748832638767e-05,0.0440274228415464,0.255853665931769,3.93448612930957
"LOC121827952",0.481296009864674,0.791541859414743,3.93920392276026,8.86220492831054e-05,0.0440274228415464,-0.334798467127071,3.91980117796815
"Ccdc59",0.241242853248197,3.75571041028844,3.92771274076475,8.8731593098849e-05,0.0440274228415464,-0.282878166234404,3.91950344477674
"Aldh1a3",-2.34043655840487,0.794867016026539,-4.17574477222814,8.90405033480621e-05,0.0440274228415464,-2.21018955285226,-3.91866571264259
"novel_gene_NC_056030.1_13416",-0.367070795005119,2.20416572326414,-3.90255416261937,9.83154111750468e-05,0.0472217670796521,-0.230071715763149,-3.89471215126507
"LOC102904671",0.38593312797812,0.667229473375391,3.90565680727957,9.99425979956893e-05,0.0472217670796521,-0.276453925587379,3.89073120160145
"Abcc3",0.63848173113222,3.49299247771298,3.88994332777397,0.000103433805829477,0.0478089039031813,-0.343237113396714,3.88239236086533
"LOC121830979",0.486073198316535,0.554110974422574,3.88201302130353,0.000117493846748975,0.0531522163739725,-0.681828286567545,3.85129711456855
"Tbc1d9b",0.313925101677333,6.86172256001132,3.85004372610379,0.00012065437947461,0.0534448628414406,-0.426665362179463,3.84479272553506
"Fgfr1op2",0.225067007781443,6.35658554304402,3.84752498408529,0.000124570384190701,0.0536095230037674,-0.542472346351684,3.83695283678696
"Znf707",0.353886503856394,2.35811638832059,3.83837070728937,0.00012606886229839,0.0536095230037674,-0.264681558527054,3.83401419341799
"LOC102915876",-0.816412007383784,-0.497923118823159,-3.88064478316278,0.00013376870151664,0.0557684339538587,-1.03656185731586,-3.81941471061163
"novel_gene_NC_056010.1_9858",0.427019590415064,1.30260509007819,3.79735191912668,0.000151021823714099,0.0617505003040224,-0.396526454115063,3.78938315806078
"novel_gene_NC_056011.1_324",0.365875382708654,-0.0805202449435846,3.77813874363428,0.000163170605841405,0.0654591211584896,-0.20031505780558,3.77011765470091
"novel_gene_NC_056018.1_19675",-0.770709155856263,0.545755814743925,-3.7586169016892,0.000183643409234586,0.0718345582197585,-0.683075186579508,-3.74051524129267
"novel_gene_NC_056013.1_3943",0.212173836925729,0.732924324121938,3.74202749398901,0.00018581980538457,0.0718345582197585,-0.25980447388122,3.7375531661534
"LOC121827482",0.576099962056303,2.22441517395511,3.74393374123581,0.000193723062792743,0.0728304873635273,-0.826199819221123,3.72706428232062
"LOC121827884",0.21692154835951,3.35424304416946,3.73094140395508,0.000195246814961954,0.0728304873635273,-0.655878141708047,3.72508836611935
"novel_gene_NC_056013.1_4354",0.357851761198301,0.348836196986847,3.70008649257413,0.000238047268740857,0.085805107946828,-0.971710485717007,3.67478770256522
"Egln3",1.05812100014058,6.59341677768029,3.6903600005863,0.000238100901555021,0.085805107946828,-0.971795505973119,3.67473018307785
"Prdm8",-0.56572729381269,0.93310057336093,-3.6933049169107,0.000243962560702397,0.0864521994275727,-1.01294136844771,-3.66851586190295
"novel_gene_NC_056012.1_43996",0.276105952151345,1.86576814340736,3.68773002650815,0.000248077092741279,0.0864691007518865,-1.05841244104571,3.66423690366133
