"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"1","A4galt","9.219361","8.979279","8.920710","8.995453","0.92745461458178","0.92745461458178","0.92745461458178","0.92745461458178","0.92745461458178","0.92745461458178"
"2","Aaas","4.950625","5.048991","4.846609","4.816196","0.336142149102144","0.255359494014311","0.255359494014311","0.0371675511013804","0.624467389278036","0.0255416781173198"
"3","Aacs","4.974930","5.106166","5.302073","5.161789","0.110652946437569","0.330217320679267","0.330217320679267","0.330217320679267","0.330217320679267","0.846812838909614"
"4","Aagab","5.734782","5.859549","5.211059","5.129379","2.07468453535594e-05","0.147132160501865","1.07609061176966e-05","1.27071744224068e-07","0.642656702179105","1.16645927138028e-07"
"5","Aak1","6.521289","6.465976","6.002683","5.893947","2.11906231741439e-06","0.409673192950356","8.2028354413892e-07","7.61525280665765e-06","0.409673192950356","1.66416027873297e-06"
"6","Aamdc","1.2033121","1.3754554","1.0347017","0.9657624","0.317133111966368","0.317133111966368","0.245554393187394","0.0583320896414343","0.628001543038653","0.0405583480850093"
"7","Aar2","4.274021","4.334514","4.212298","4.080378","0.377426171560221","0.338502263141247","0.0252226831961605","0.074380610107955","0.074380610107955","0.00163027368794562"
"8","Aard","4.026268","4.291924","3.773658","3.275880","0.530870863688412","0.377355912195257","0.115883676913251","0.176389305972498","0.176389305972498","0.0150950392276686"
"9","Aars1","7.315331","7.413293","7.178667","7.342679","0.277791377675375","0.503714000358345","0.639774366681325","0.0782883380520107","0.141315169111482","0.639774366681325"
"10","Aars2","3.821115","3.869076","4.149588","4.160532","1.75859078289798e-05","0.409181411294365","1.75859078289798e-05","8.85641869042239e-05","0.805261519448199","8.12409869193506e-05"
"11","Aasdh","3.969550","4.041239","4.015532","3.783621","0.599358796179555","0.462363919870939","0.0749774139911877","0.599358796179555","0.0231776060976464","0.0121987895832046"
"12","Aasdhppt","4.237308","4.061445","4.228225","4.260330","0.882981451836037","0.00823717033177479","0.882981451836037","0.00823717033177479","0.882981451836037","0.00823717033177479"
"13","Aatf","5.254968","5.261386","5.092634","5.142217","0.0108753143784299","0.531753924263992","0.0540599703198966","0.00241607966042434","0.427569209026786","0.0125005590380385"
"14","Aatk","3.514492","3.227109","1.082106","1.004069","5.35773360058691e-13","0.165172317320645","5.35773360058691e-13","1.54199167188847e-12","0.604128598539545","1.33923105936817e-12"
"15","Abat","0.9892829","1.4558542","1.5667991","1.6086724","0.524318768118684","0.524318768118684","0.524318768118684","0.959004378507842","0.970673688647372","0.959004378507842"
"16","Abca1","8.598404","8.318920","7.595520","7.743593","9.89339304042885e-05","0.0630290188311191","0.000842958011775858","0.00648528178427183","0.363968064872867","0.0539262316577642"
"17","Abca2","4.731948","4.756046","4.881157","4.911671","0.462504828082448","0.842954983217971","0.351312543232872","0.404758094717584","0.63850853089655","0.351312543232872"
"18","Abca3","6.511160","6.668489","6.466778","6.474167","0.636792623260208","0.0418027873295668","0.636792623260208","0.0103253513824979","0.964967328068868","0.0103253513824979"
"19","Abca4","1.498105","1.808570","2.742378","3.492632","0.000308055603341266","0.203387803423794","4.48754508079037e-07","0.00530795208200605","0.00839995094292123","3.53783283915404e-06"
"20","Abca5","3.088365","3.129385","3.748701","3.778198","1.19113166468836e-05","0.770368521069377","1.19113166468836e-05","1.19113166468836e-05","0.770368521069377","1.19113166468836e-05"
"21","Abca6","0.96717896","0.69392881","0.05142872","0.25764813","0.0785862122834962","0.393530685417613","0.141547434763855","0.25762780290636","0.595614803309316","0.393530685417613"
"22","Abca7","6.245487","6.318551","5.901259","5.732512","0.00926894570781793","0.30989269541035","0.000605644308751988","0.000605644308751988","0.264100636856782","4.5825510851099e-05"
"23","Abca9","5.774555","5.669476","4.623157","5.112436","0.00104901691017158","0.312172274379657","0.0458517736654246","0.00605754535730535","0.107282883355363","0.194214143749501"
"24","Abcb10","2.929186","3.042505","2.578935","2.435657","0.0296833546624029","0.354092855186384","0.00488586605980027","0.00237197716328982","0.354092855186384","0.000428236279474496"
"25","Abcb11"," 2.54423261"," 1.62357910","-0.19557927"," 0.03443165","0.0189816184793594","0.349051372827736","0.0189816184793594","0.0808662291162414","0.916737765954353","0.0855732404074148"
"26","Abcb6","4.953272","4.881568","4.315185","4.423577","3.18728187039589e-08","0.436985943950064","4.05690957808845e-07","4.22435354489362e-08","0.298108396374345","1.11921991342794e-06"
"27","Abcb7","5.063222","4.749171","4.493904","4.549322","2.83132571522453e-06","0.000739892715191159","1.97371365318753e-05","0.035337119129031","0.424772674529917","0.164322680197815"
"28","Abcb8","5.249535","5.371605","5.481228","5.313730","0.000635643120172963","0.0153065283258868","0.175836614346245","0.174480984400027","0.0117805000864518","0.174480984400027"
