"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Hacd1",2.07018306470028,4.08558930135232,6.73788113898044,1.65467851006618e-11,2.04827689561369e-07,10.1390465460093,6.7336421459731
"LOC121822685",2.40194726282294,6.72541045686993,6.71125877775638,1.96647167397628e-11,2.04827689561369e-07,10.0082158569807,6.708491095695
"LOC121829352",1.54787824135954,0.639578613915018,6.62416673617312,8.90759734723984e-11,5.17114509915765e-07,7.0986722943869,6.48441627287467
"LOC121826663",2.45527705308634,6.20753808591209,6.46999502606348,9.92923406136261e-11,5.17114509915765e-07,9.23988578934511,6.46802459401161
"LOC102904277",2.46708206636296,3.68526109993332,6.42418930710183,1.37286457370234e-10,5.71990295987342e-07,8.89133351791705,6.41887346470851
"LOC107400216",0.978574246148246,2.3586417803204,5.99718213599501,2.22633640540227e-09,7.72983999955669e-06,6.87430281840634,5.98036831839812
"LOC121832689",2.28996785944151,4.44961617029846,5.90311921128755,3.61386733835679e-09,1.00024837395357e-05,7.12117847101789,5.90096264343708
"novel_gene_NC_056017.1_2701",2.28923908639991,4.44549862856281,5.89304666075157,3.84119959275564e-09,1.00024837395357e-05,7.08229205585978,5.89089052969394
"Tmed5",0.531082357154751,6.07148783608552,5.87175797977034,4.49312549341715e-09,1.04000878087629e-05,6.37644194214908,5.86493356920657
"Usp45",0.557441748746409,4.08849618390648,5.63368406587087,1.8569150123553e-08,3.86832535373857e-05,5.59554722062306,5.62482930345374
"LOC102916584",-1.12584886924854,1.36633661190719,-5.67492195954064,2.1445921901898e-08,4.06146768236672e-05,4.75538394662028,-5.59991315354454
"Rbm7",0.317803005280572,4.4890988821813,5.56246075247225,2.72945759650405e-08,4.73833838753103e-05,5.50063002946336,5.55796009836518
"LOC102928578",0.725153919413589,0.908264009448021,5.56359244149267,3.04758878362006e-08,4.88364381079793e-05,5.58246331706387,5.5386805945592
"Thap6",0.395310577698274,4.80369067574779,5.50739871273169,3.72991173297807e-08,5.55010865867137e-05,5.29772610242433,5.50318475855199
"Rbm12b",0.58583966073722,3.29543078036143,5.3819454500536,7.59872440582152e-08,0.000105531084548049,5.00866039204663,5.37640623031028
"LOC102903984",0.531921296031332,4.7627530098588,5.35056177491467,9.16232069770817e-08,0.000113292279500279,4.63118188406392,5.34259918687365
"Pigt",-0.439391997170019,7.56549451132688,-5.33974418413405,9.6969914273232e-08,0.000113292279500279,4.61781733308532,-5.33231242560643
"novel_gene_NC_056030.1_16959",2.22049368514868,1.29449197327757,5.34176718800556,9.80000870969188e-08,0.000113292279500279,5.05430838061871,5.33039369105213
"LOC102907965",0.903419157972378,1.25914447192802,5.33210369910204,1.03329171971261e-07,0.000113292279500279,5.01274941093811,5.3207696448247
"Spopl",0.582554024828432,4.90539173997697,5.25554030098387,1.53046215349701e-07,0.000159412937908248,4.34987732541441,5.24885651914816
"LOC121822263",0.578839719850691,4.54362773505883,5.22921628513247,1.78936810178112e-07,0.000177505315696687,4.2152653465204,5.21998584116636
"Vamp7",0.478362923287299,4.52976277592254,5.21248209675161,1.89389815068756e-07,0.000179334937614196,4.37930885084159,5.20946119174403
"Vps29",0.26748604681651,6.01874181155035,5.18681254974072,2.15149920003153e-07,0.00018284433138228,4.42204959563239,5.18574769672248
"novel_gene_NC_056022.1_12661",0.406462217793556,2.84795461749812,5.20075105303515,2.15681750117928e-07,0.00018284433138228,4.09641549776995,5.18528761627754
"LOC102924243",1.63028705048922,3.00564109954122,5.2623126761778,2.1942724100216e-07,0.00018284433138228,3.24330898566453,5.18207814414774
"novel_gene_NC_056023.1_11749",0.564216363682812,2.17105814342703,5.17735943827432,2.30893271451163e-07,0.000184998793495024,4.61150905675059,5.17257217128918
"Caap1",0.394392510691894,2.43045373391603,5.13823655497608,2.98418120903401e-07,0.000227487755676644,3.98614950652777,5.1244433070127
"Map3k2",0.45553597065128,5.95076559721586,5.11647376104928,3.12406248728151e-07,0.000227487755676644,4.28894710560582,5.11580465851508
"novel_gene_NC_056026.1_7554",0.373137044447041,1.98191391312491,5.11356691105347,3.21091810054044e-07,0.000227487755676644,4.66639297146948,5.11062674519514
"Mzt1",0.834824124971249,2.89394950414296,5.14996526964692,3.27603334787793e-07,0.000227487755676644,3.42657645873422,5.10683282666686
