"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"LOC121822685",-2.16635778720688,6.9089782804099,-8.35460433341544,6.9347172357986e-17,1.11000263706869e-12,16.2459452117948,-8.34813859446257
"Hacd1",-1.70602074796524,3.90557858675067,-8.30827214872712,1.04411874430316e-16,1.11000263706869e-12,16.1290330825587,-8.29965760216201
"LOC102904277",-2.17153441286866,3.44188507163745,-8.20114304601769,2.64388986696105e-16,1.87381287837753e-12,15.5416884896897,-8.18855141380489
"LOC121826663",-2.19060957182346,6.77874647793825,-8.07955242729902,6.75724606894001e-16,3.59181414794506e-12,15.5089509833924,-8.07482685487828
"LOC121832689",-2.07684106231522,5.67679841177163,-7.60345386665675,2.96225379124487e-14,1.09587564672197e-10,13.6390733555509,-7.59995865318373
"novel_gene_NC_056017.1_2701",-2.07612704089173,5.67448437215475,-7.59787901101148,3.09249077242585e-14,1.09587564672197e-10,13.6161736343803,-7.59438859231333
"novel_gene_NC_056021.1_8391",-1.91691961124019,1.94018366930253,-7.45695382242678,1.03702281920864e-13,3.14988274028774e-10,12.8001006750433,-7.43609880798781
"Vamp7",-0.474733122631139,4.53150177137902,-7.3936505016852,1.53222782776363e-13,4.07227850923879e-10,11.9344325597616,-7.38433017806503
"Tmed5",-0.465367411638434,6.05467037397164,-7.27281129105539,3.91071187097227e-13,9.23883953340138e-10,11.0895746261652,-7.25861591279105
"novel_gene_NC_056014.1_23672",-0.519953384680159,2.84681344017729,-6.80335541754752,1.09567809991395e-11,2.32963077603704e-08,10.280696549015,-6.79333859590092
"LOC102907965",-0.668971943901347,0.108049487520303,-6.73356691816496,2.22292642456578e-11,4.29671469446524e-08,10.0280701691525,-6.6905768106946
"novel_gene_NC_056011.1_10722",-0.437511920096794,3.52414354394103,-6.68979192923373,2.50479937331416e-11,4.43808702295047e-08,9.2320079032797,-6.67308574758249
"novel_gene_NC_056008.1_3171",-0.39709611405288,2.8968949374222,-6.69956009048326,3.58317118457525e-11,5.86041428664915e-08,8.36891723167701,-6.62036330833659
"novel_gene_NC_056020.1_2524",-0.855396468453338,3.99389185622241,-6.61380833584161,3.91932709817976e-11,5.95233805439272e-08,9.29832567138828,-6.6070956959416
"novel_gene_NC_056020.1_563",-1.11358708812744,6.15754527461438,-6.56183370855912,5.37223347368767e-11,7.61496187450315e-08,9.79206606298749,-6.56023697596172
"Pphln1",-0.235471183081663,4.66124664553488,-6.53235177374395,6.68538761069042e-11,8.88404446115624e-08,9.02604119930512,-6.52755071227759
"Fam76b",-0.456667210747272,5.11872370724471,-6.44324029824045,1.26086974083408e-10,1.57697720174201e-07,8.2940434310205,-6.43181762331888
"novel_gene_NC_056011.1_14472",-0.42891293573569,3.75182181182247,-6.40843453093533,1.94556319848878e-10,2.28584069187162e-07,7.75348049094911,-6.36557748849099
"novel_gene_NC_056031.1_13859",-1.50475524251605,6.07198430527534,-6.3600009239285,2.04265700054373e-10,2.28584069187162e-07,8.81407525316255,-6.35809908612633
"LOC121828799",-0.668585347271937,-0.117962904961476,-6.3799749945858,2.20404276842376e-10,2.3431178671113e-07,8.91708679629304,-6.34640518551418
"Znf800",-0.28994060748954,4.07799490446531,-6.33411662337935,2.54485510972875e-10,2.57660520681204e-07,8.08189230371387,-6.32423783320678
"novel_gene_NC_056020.1_15204",-0.719171365137223,-0.466723862450226,-6.37153217334053,2.88874379411317e-10,2.79183957047428e-07,8.16695188581665,-6.30463471133735
"LOC102910326",-0.530093983261141,4.64986032686868,-6.2559336909508,4.13998753753044e-10,3.82714847925966e-07,7.83230434387071,-6.24865631820146
"Chordc1",-0.482311377062497,5.24198824661152,-6.25225764174617,4.34533006722561e-10,3.84960032872295e-07,7.62925069639445,-6.24108968183995
"novel_gene_NC_056022.1_12625",-0.427372677569801,4.03739887512852,-6.24938632258283,5.21610652318726e-10,4.4361942758403e-07,7.28197784729837,-6.21246119259
"novel_gene_NW_024592782.1_8",-1.45483112539221,7.56875930576199,-6.13014497549614,8.89349306373125e-10,7.27282498157899e-07,8.05711568760977,-6.12809956247935
"Caap1",-0.319954825577721,2.45816612468587,-6.09496896035272,1.26397501707766e-09,9.93997917295356e-07,7.19184145073676,-6.07191034063391
"novel_gene_NC_056022.1_12661",-0.339612717871092,2.95528436969932,-6.09411277553658,1.30899923263428e-09,9.93997917295356e-07,6.9970527790169,-6.06628848033828
"Lin7c",-0.35756781412814,5.72634747166796,-6.0645302918422,1.40278253827454e-09,9.99853609316998e-07,7.01393498779637,-6.05515989732214
"Srsf10",-0.389068679858507,6.20181196601503,-6.06826465575217,1.46773240018642e-09,9.99853609316998e-07,6.84385831685847,-6.04787007569559
"Ctdspl2",-0.260355011195404,5.03628186974612,-6.05032810325622,1.48833507002126e-09,9.99853609316998e-07,7.17531360496391,-6.04562326586577
"novel_gene_NC_056023.1_11749",-0.465322979004978,2.43233521801501,-6.05413074765463,1.50481212953362e-09,9.99853609316998e-07,7.50713856751441,-6.04384808092258
