"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"LOC102927525",2.4176267822959,3.19734520851229,31.1249824738526,2.36920271669437e-194,4.93552309941772e-190,71.028794993025,29.7395211419051
"LOC102926317",2.273368099147,6.5148352583499,30.9154056655878,3.54494950619533e-187,3.69241940565306e-183,63.6144925959522,29.179357927237
"LOC102903671",-2.90473991652746,6.25338753986868,-30.4936689626989,2.16305344564679e-166,1.50202431265713e-162,61.3996354145272,-27.4924201988709
"LOC102904932",1.71378563222812,5.73718905892345,27.342152511257,1.07161851648384e-154,5.58098923384782e-151,59.5532749650234,26.496215637327
"LOC102913928",3.73553474434989,2.32773513557948,31.2447880804822,1.24678361873737e-151,5.19459926910739e-148,64.3217222504714,26.2288270092101
"LOC102913622",3.50317627867899,2.28170787286819,30.6833367658786,5.18288233420063e-145,1.79949674643446e-141,63.2845142939739,25.6420723112055
"LOC102913313",2.47176554390451,1.14600383679022,26.9514359583006,2.96156435433857e-139,8.81361551851158e-136,68.7932895662328,25.1206111324363
"LOC102928578",2.4381811737872,0.908264009448021,26.5107690253998,4.16557320783673e-131,1.08471526332068e-127,66.1533591758533,24.3635480260109
"novel_gene_NC_056008.1_24568",2.79234472882642,0.771767057040966,26.9985892058865,1.84570454277682e-129,4.27219078168075e-126,64.9781052607164,24.2077035026549
"LOC102904226",-1.20422286513923,5.10949778354943,-23.8659051852324,7.24022600431119e-124,1.50828388121811e-120,58.3555965653567,-23.6706187634587
"novel_gene_NC_056009.1_1902",3.47325875252454,2.33265277920392,25.2631933606252,6.29133170108649e-114,1.19146383633667e-110,56.6822702192894,22.6850653879461
"novel_gene_NW_024594708.1_2",-4.03962892671748,2.98295469229596,-22.2041760686083,3.5267637970441e-107,6.12246195166855e-104,70.2255366911827,-21.9908049533397
"LOC102925940",1.54197117434721,1.24411089790376,22.1763813758986,3.43775835365235e-95,5.50887554025275e-92,53.8473448448228,20.7003623844455
"Rpsap58",2.09209555254174,4.22193354804149,21.570392409104,2.59025858660364e-94,3.85430477686622e-91,48.6165601230626,20.602799837101
"LOC102902783",1.25242195969835,2.43308326400131,20.108131195246,2.93705532013435e-84,4.07898242860258e-81,48.8592794582547,19.4496013403338
"LOC107402193",-2.99157188324259,3.38930400809619,-19.1096438804939,1.71472602498153e-80,2.23257328452596e-77,54.6961253345096,-18.9997151318906
"Thap6",-0.974012760969563,4.80369067574779,-19.0358771212054,1.8981409311921e-79,2.32600422815257e-76,45.937929367924,-18.8731041524575
