"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"Bag3",-0.334784434790122,5.1137830714137,-5.49542699842264,3.93714712774461e-08,0.000592438242645927,4.75149367228335,-5.49364806653109
"LOC102920505",-0.431059402631944,5.90184567764538,-5.44231402101561,5.38286609709183e-08,0.000592438242645927,3.65579293017793,-5.43817642129932
"Pfas",-0.254394855600131,4.98661470746918,-5.23891910555475,1.63624787956306e-07,0.0012005696108314,3.6550099537929,-5.23652872316157
"Cisd2",0.320534927293956,4.30957862791404,5.05687261313633,4.41109171894978e-07,0.00242742377293806,2.55990795646506,5.05030327840705
"Derl2",0.190308295545825,5.22182519979366,4.96867287221623,6.81663490666307e-07,0.00300095535130935,2.79818318314964,4.96651623473749
"Nupr1",1.99118231296086,3.69392921555722,4.88566498829327,1.10279604156767e-06,0.00404579107783126,1.77399789594291,4.87234816327296
"Sphk2",-0.203797974824536,4.87508225487651,-4.80020064801916,1.59560542993918e-06,0.00501749524626016,2.67819088565212,-4.79887348137301
"Plod2",0.300556165961724,6.44654193368811,4.71352372735581,2.46191431432808e-06,0.00667418847847267,1.88785262961443,4.71125873781763
"LOC102922156",-0.444418825199105,5.3676853106766,-4.6936617202386,2.72886136226849e-06,0.00667418847847267,1.75672551087817,-4.69023898329179
"LOC102906108",-0.65881789526435,3.83977893926566,-4.641586509217,3.53074216627588e-06,0.00704802784297241,1.80840801486272,-4.63725061323297
"Map3k4",-0.250217861777127,6.6759516221444,-4.63415429964718,3.61427551421826e-06,0.00704802784297241,1.76227344805113,-4.63241339118326
"Cspp1",-0.179230896812653,4.74183926420948,-4.62186173953618,3.84228303269439e-06,0.00704802784297241,1.88228518385032,-4.61973617052727
"LOC121823757",-0.770175619398167,0.277128933710118,-4.61711719459891,4.40996360555795e-06,0.00723889050408801,1.53789882219612,-4.59106197092283
"LOC102923949",0.400623965571242,2.22384809077883,4.5880386854492,4.60405538148428e-06,0.00723889050408801,1.93376415701419,4.5820655404233
"novel_gene_NC_056023.1_10345",-0.264639938833808,3.49910527187987,-4.50375156248043,6.8465483332413e-06,0.00962300548535572,1.36357349112097,-4.49840405120345
"novel_gene_NC_056023.1_10339",-0.262036843976362,2.03320358950347,-4.50052657183111,6.99473413436723e-06,0.00962300548535572,1.67336454832773,-4.49384867906821
"Rcor2",-0.387452868744566,2.5012902933817,-4.46252871411934,8.46006107061932e-06,0.0109542861344984,1.16260904255248,-4.45319815475795
"Trib3",0.55846898939035,2.74460888667485,4.40069893076182,1.11592534052954e-05,0.0130126390891951,1.06287104480693,4.39339804836593
"C5H5orf24",0.263398166547082,5.85838492437772,4.39823835805299,1.1232061725182e-05,0.0130126390891951,0.750364924193659,4.39198467655123
"Mfsd14a",0.129418988633055,5.89345492698341,4.37137354609432,1.23852970389687e-05,0.013631257921089,1.40914584927449,4.37069274605228
"LOC102905591",0.454048311005164,1.89519847328566,4.36336620538291,1.31923655861349e-05,0.0138281119658096,1.29285011243287,4.35688978309919
"novel_gene_NC_056012.1_37729",0.465042555812347,3.20445335376438,4.39532916085163,1.43140371828294e-05,0.0143218448394746,-0.449952501368424,4.33898794733891
"Sanbr",0.199486638362076,4.25103228325772,4.31738118816229,1.58851764696086e-05,0.0149823870317301,1.29204381496487,4.31604200407232
"Phf10",0.13622921583061,5.93134641796125,4.31088677632861,1.63355119371943e-05,0.0149823870317301,1.07340469371079,4.30986380407855
"novel_gene_NW_024590300.1_9",-0.536272645541467,2.58195799116033,-4.29975716146031,1.76986179305895e-05,0.0155832791155254,0.826159555052704,-4.29210629807654
"LOC102922462",-0.480799798911483,6.69117379276776,-4.27650688388811,1.93480752343781e-05,0.0157541052175129,0.560238947432545,-4.27228421363523
"Ier3ip1",0.263189599905522,5.76421505289214,4.27469700272325,1.93791872216418e-05,0.0157541052175129,0.69144263723074,4.27192602124814
"novel_gene_NC_056011.1_36923",0.206488545201532,4.18331556430361,4.25804327092447,2.07800066247517e-05,0.0157541052175129,1.02665074889886,4.25634059954367
"novel_gene_NC_056020.1_15914",0.236283506501562,2.36038166114956,4.26107619145555,2.08786149330305e-05,0.0157541052175129,0.912753036255854,4.25528152081593
"Cebpg",0.168664787481773,5.86686514949954,4.24757082090086,2.20593472901374e-05,0.0157541052175129,0.482510237626546,4.24295724700172
"novel_gene_NC_056013.1_13629",-0.230166743134745,1.85947985401401,-4.24107752230599,2.28790875121005e-05,0.0157541052175129,0.97062660929863,-4.23476496435553
"Anxa1",0.380171157190719,7.74380461873497,4.22939250021948,2.36022032951638e-05,0.0157541052175129,0.660548982922455,4.22776698440963
"LOC121831564",-0.55298428765548,2.08076744713255,-4.23774383058398,2.46928356720525e-05,0.0157541052175129,0.134500317513032,-4.21758901161493
"novel_gene_NC_056008.1_29801",0.160123843179969,5.40380535385591,4.21269502708016,2.54730636333286e-05,0.0157541052175129,0.628108445810744,4.21056693435736
"Rala",0.157235241383507,6.06213471436502,4.20990762383432,2.57351488647225e-05,0.0157541052175129,0.642546223880894,4.20825400444901
"LOC102925380",0.438212049885109,0.415712941261472,4.2265674391554,2.57653910517202e-05,0.0157541052175129,0.554542544117756,4.20798855716916
"Eif2s2",0.102997482012943,6.36004380575744,4.19734701663424,2.71377912917786e-05,0.0158135915071595,0.698988663813385,4.19624397430782
"novel_gene_NC_056021.1_15334",-0.194077414464816,3.08749073116461,-4.19940309333683,2.77264574155037e-05,0.0158135915071595,0.414948089461773,-4.19137856865585
"Hnrnpul1",-0.125563289723777,7.20535889982163,-4.18670740089212,2.84538796426201e-05,0.0158135915071595,0.620740618274293,-4.18550021730739
"LOC121826054",-0.544836262170226,4.32134177469495,-4.18861903204147,2.87363102074496e-05,0.0158135915071595,0.400366471626566,-4.18325630528743
"Nav2",-0.430508784401149,5.07301741525024,-4.17125680436315,3.06624986850957e-05,0.0162037165438265,0.484144377301122,-4.16848942308699
