"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"1","A4galt","6.254916","5.980539","6.734676","6.635994","0.0258311740214507","0.181986801430203","0.070719488143287","0.00148929614057582","0.586500760954812","0.00418666941552504"
"2","Aaas","4.921527","4.881079","5.048785","5.045451","0.280027928577369","0.728686014584001","0.387642352193894","0.280027928577369","0.728686014584001","0.280027928577369"
"3","Aacs","6.231577","6.126352","6.293829","6.203980","0.719490491557629","0.719490491557629","0.828363343272657","0.719490491557629","0.719490491557629","0.719490491557629"
"4","Aadacl3","2.048940","2.212960","2.006472","2.254440","0.897417077909487","0.788895905416747","0.788895905416747","0.788895905416747","0.788895905416747","0.788895905416747"
"5","Aagab","6.333303","6.411428","5.686326","5.775328","3.5891684538718e-10","0.330012608742249","1.63499824846478e-08","2.21565851118085e-11","0.147752947097777","7.62522581818207e-10"
"6","Aak1","6.933372","6.849298","6.606843","6.456771","0.000867646382581076","0.388943955660938","4.65627955506432e-05","0.0060029758820108","0.146894263252739","0.000207393140354068"
"7","Aamdc","1.875000","1.936106","2.354466","2.300638","0.000347919711633675","0.68165418173043","0.000476078327508067","0.000476078327508067","0.68165418173043","0.00108524163808257"
"8","Aar2","4.451822","4.415867","4.116118","4.070360","4.51122611342683e-06","0.580912103765032","1.91928231257702e-06","1.30008972486311e-05","0.428568660827669","3.03360311619247e-06"
"9","Aard","6.198692","6.104823","5.992809","6.046458","0.845555863383503","0.845555863383503","0.845555863383503","0.845555863383503","0.845555863383503","0.932043697253774"
"10","Aars1","6.561292","6.650760","6.124119","6.171347","2.90156124590709e-05","0.56354150303813","0.000130129519482582","5.99424973679477e-06","0.596529495531136","2.10060445163518e-05"
"11","Aars2","4.060925","4.070146","4.420465","4.186106","1.26043565798892e-05","0.879032434976129","0.101009835854254","1.26043565798892e-05","0.00109513355846344","0.109311492305394"
"12","Aasdh","4.343114","4.397853","4.129699","4.185200","0.000442045218767104","0.370289698051895","0.0044529017996392","6.99794413319495e-05","0.370289698051895","0.000442045218767104"
"13","Aasdhppt","4.425126","4.382108","4.643461","4.801029","0.000290932084494152","0.410896468499","9.77919338141653e-08","2.30014037843983e-05","0.00239266869928881","1.03633989780652e-08"
"14","Aass","1.716231","1.673265","2.941124","3.181343","1.76291410922601e-08","0.789442284835547","1.74346141649059e-09","5.34628003481504e-09","0.190793579263801","7.74229636404834e-10"
"15","Aatf","5.092577","5.178706","4.891015","4.947299","0.00189575643363562","0.24602831621869","0.0139428609607397","0.000102298219922296","0.401263012997499","0.000757842649707017"
"16","Aatk","2.432426","2.086637","2.401602","2.089916","0.989310528222377","0.0403478636134385","0.0403478636134385","0.0403478636134385","0.0403478636134385","0.997005423051242"
"17","Abat","4.520753","4.404023","4.322929","4.641217","0.700923953500065","0.700923953500065","0.700923953500065","0.700923953500065","0.700923953500065","0.700923953500065"
"18","Abca1","7.901678","7.965546","7.599987","7.625453","0.00948763245300429","0.726018782176731","0.0190274425241404","0.00577302086961648","0.726018782176731","0.00891831627810213"
"19","Abca2","3.821549","3.849860","3.755955","3.740624","0.881319391970233","0.881319391970233","0.881319391970233","0.881319391970233","0.881319391970233","0.881319391970233"
"20","Abca3","7.475874","7.393200","7.369952","7.358986","0.801412739362015","0.848694943713868","0.801412739362015","0.848694943713868","0.89988443644774","0.848694943713868"
"21","Abca4","3.017969","3.069048","2.981295","3.196360","0.842572571874674","0.842572571874674","0.842572571874674","0.842572571874674","0.842572571874674","0.842572571874674"
"22","Abca5","3.763714","3.809645","3.824350","3.928444","0.694559330084396","0.694559330084396","0.52080688149428","0.953704204596265","0.52080688149428","0.52080688149428"
"23","Abca7","6.868553","6.968450","6.005024","5.900433","1.91549291227726e-08","0.366119283768312","4.50939415391797e-09","1.59620537702024e-09","0.366119283768312","6.72939698285144e-10"
"24","Abca9","2.307654","2.044078","2.723500","2.740427","0.00853863675419802","0.0920816965059695","0.00853863675419802","0.000116291748588846","0.903270850635247","0.000116291748588846"
"25","Abcb10","4.188826","4.152958","4.728688","4.502963","0.0121666271086475","0.868399766954001","0.0661887362785035","0.0121666271086475","0.397562721023914","0.0539256099379465"
"26","Abcb6","4.870874","4.910394","3.717469","3.710409","2.75540880898804e-14","0.792233811620319","1.31427358062177e-13","9.41092531784681e-15","0.889622753907581","2.75540880898804e-14"
"27","Abcb7","4.044289","3.925947","4.114476","4.205698","0.156180884631326","0.0276607401802561","0.00278479159930388","0.000877737571366939","0.0432615339850057","5.57280049648294e-06"
"28","Abcb8","5.884937","5.805002","5.962027","5.889523","0.250588865259402","0.250588865259402","0.811200410985963","0.0438940449417791","0.250588865259402","0.250588865259402"
"29","Abcb9","3.003816","3.201490","3.223781","3.130822","0.0685779943788575","0.0902514899551949","0.188115011592257","0.726884585777703","0.520943374268761","0.680232544138839"
"30","Abcc1","5.736874","5.813214","5.739369","5.813309","0.991932828381179","0.61438179908075","0.61438179908075","0.61438179908075","0.61438179908075","0.991932828381179"
