"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"LOC102927525",2.66441594278032,2.61068925214289,48.2938463981009,1e-300,0,97.406639730296,37.0657878807721
"LOC102926317",2.1452791914647,5.08566249708831,30.2846921652064,8.86960848982821e-187,9.92065709587285e-183,64.9855364475765,29.1479478623276
"LOC102917383",1.98076796517072,1.56303452713345,28.8569652360133,2.52678015462845e-160,1.88413573530128e-156,75.1423426337924,26.9801559297126
"LOC102928578",2.99458548869727,0.663626911956051,28.300498853467,1.05532924963877e-150,5.90192882860482e-147,85.3338127273717,26.1473866073222
"LOC102904932",1.71794686534698,5.91275340765821,27.1274442897884,7.1324054168335e-150,3.19103818349131e-146,58.2042397693329,26.0743133327444
"LOC102906553",1.85761573109277,4.50129784977192,26.132749397888,1.28578511838532e-142,4.59741754297658e-139,59.9923986205961,25.4264661675653
"novel_gene_NC_056009.1_1902",4.09706144695892,1.45795122540101,31.3229612392773,1.43861970499938e-142,4.59741754297658e-139,66.5856764142899,25.4220553552992
"novel_gene_NC_056008.1_24568",3.72327061860364,1.31472754871216,29.2448177770342,5.7925371688575e-142,1.61973820584178e-138,68.1414232197602,25.3672904694115
"Robo2",-3.02134091826529,3.29124394634456,-24.789117646867,8.328825746427e-133,2.07017591052858e-129,77.0841198121965,-24.5233367389082
"LOC102902783",1.22912649094662,2.32314467708051,25.3540974192246,2.45508557652166e-131,5.49202643467895e-128,64.8834284958822,24.3852021950643
"Ldah",1.9539799920901,1.66113161732881,25.2083075580742,3.11453255908674e-126,6.33382666788821e-123,66.3018780085821,23.8992995278209
"LOC102913928",3.37833910799515,2.48188475523818,26.3299476408775,5.25288792359629e-125,9.79225857090408e-122,59.5579461191783,23.7809974536343
"Tdrd9",-3.32587608508402,3.05906815806691,-25.7658635479053,1.05293668960288e-123,1.81186105741664e-120,56.5959920905028,-23.6548196298561
"LOC102928213",1.97830085933713,4.3634932544824,24.3657698939651,4.83380204165308e-118,7.72372511941281e-115,53.8917345531861,23.0981383941599
"Tgfbi",5.47511781386055,6.1941446214376,23.3066775415085,1.30111862400591e-117,1.94040157460081e-114,60.4571434578544,23.0553105156433
"LOC107399617",5.13639481939566,2.14437579762446,25.1980744929126,9.68298549101667e-117,1.35380240896277e-113,63.3418087842478,22.9682517690161
"LOC121829351",-3.23912005340341,1.44289366437731,-23.1958625428536,1.36099254027176e-112,1.7909060662282e-109,72.3936186504487,-22.5494061564226
"novel_gene_NC_056016.1_1423",1.47677092317081,3.26307602162365,23.2390816130278,5.15390311954098e-112,6.1934010055038e-109,55.9584983050903,22.4903947990517
"LOC102909903",1.47668635777195,3.26305556541785,23.2375284082231,5.26037635693215e-112,6.1934010055038e-109,55.9600525634515,22.4894873680526
"LOC102904226",-0.891508480535367,4.94766091387304,-22.5825902282026,2.36738871112784e-111,2.64792427339649e-108,56.8505925738777,-22.4226366090909
"Mettl24",1.49461870814588,5.42801858125739,22.7503270735904,4.8847397738912e-111,5.20341089247362e-108,52.8693087656303,22.390373912797
"LOC102912007",3.98093598179823,1.90354138221939,24.22418575931,6.7618774824094e-110,6.87559996734083e-107,59.7511928399339,22.2729382951294
"Thap6",-0.706193471736004,4.72865906914377,-22.1453072721894,3.38331811256991e-108,3.290644616443e-105,69.5341055212432,-22.0969258327116
"LOC102913323",2.07259056736346,1.27192772873113,24.2750292603126,4.5447608721771e-108,4.23609586294174e-105,58.7326701223581,22.0835933909604
"Etfbkmt",1.14207523873321,4.30983166132231,21.9049925371323,1.80266139510886e-103,1.61302141634341e-100,53.6868791681905,21.5998329393995
"LOC102903671",-2.04337324106509,5.58065387622663,-21.7479351709059,4.24697164746002e-103,3.65402906744926e-100,52.5926255317331,-21.560207691673
"LOC102922209",2.3303578019929,4.59013754879199,22.7294108508446,9.84436427635957e-103,8.15623810600606e-100,50.5662673679573,21.5212632123992
"LOC102913622",3.60627531644035,2.35567451282261,23.3933403015898,3.20217680528902e-99,2.55831054051126e-96,53.6876332954241,21.142978481088
"LOC102923589",1.91766067215368,0.418221589319853,24.5791496413855,6.10608476204153e-97,4.71010745265065e-94,56.5517578869135,20.8937287295334
"Itih6",-2.00040679628049,2.7882275558242,-20.7215913624941,3.37940695656789e-93,2.51991112061412e-90,59.0990827171791,-20.4780466866604
"LOC121828953",2.64657505021042,1.48991973906584,22.3053981627037,2.128257474894e-91,1.53577805527028e-88,52.9995306599802,20.2752228589643
"novel_gene_NC_056023.1_3210",-5.23795205656864,1.55445740474184,-21.2027240092555,9.67919741698453e-91,6.76636394431075e-88,55.7014819702021,-20.2005607343691
"Rfc1",-1.01758846622729,5.47577336478629,-20.00703810583,5.89939868078112e-88,3.99907722694163e-85,49.2464400645715,-19.8813756511013
"LOC102922385",4.71468471131215,1.58597148243609,23.2035498108602,2.7422367364065e-86,1.80423046451216e-83,52.1200591625187,19.6878230855901
"LOC102924108",2.27760674873362,3.63556175088491,19.7483810526985,3.99874005932924e-85,2.55576614649129e-82,55.3376391689837,19.5515885079233
"LOC102925940",1.52550641269722,1.31310930457046,21.0680613022806,1.34604707511924e-84,8.36418696400481e-82,51.1644013701667,19.4895710159927
"LOC102918495",-2.34508304807342,3.23411010264049,-19.6410554448407,3.91340093750517e-83,2.36602105329704e-80,49.8136466875787,-19.3163531829756
"LOC102920512",2.73492427715002,1.6583362100771,20.8762439434742,1.12488878969495e-82,6.62204269091476e-80,50.191036171704,19.2617601958444
"LOC102909875",1.5184424331508,1.79039820774242,19.868026165441,1.19415028533469e-81,6.84952355972744e-79,51.8714281390764,19.1390555500501
"Il2ra",-2.47011830446539,1.61646849558451,-19.005870902622,3.50088811771506e-78,1.95787167983215e-75,59.6185170292667,-18.7184660023093
"Jagn1",-1.06155434172122,2.82826277646277,-18.69192372596,4.10714503990353e-77,2.24089840347907e-74,58.1196654470951,-18.58683433023
"Wdr49",-1.80673140885732,0.828884081501053,-19.0740979199121,1.19909713077322e-76,6.38661971795164e-74,55.095028322973,-18.5292667774026
"Golm2",0.838677208118229,5.92842000107298,18.2405448909576,3.63743474112496e-74,1.89231198044105e-71,54.9393752156875,18.2191527351147
"Aig1",-1.05875406068527,4.73622826613038,-17.8505019348111,1.49295301583251e-70,7.59030885549392e-68,45.320529883971,-17.758064254594
"Klk10",-4.15975112615743,4.94926901452019,-17.8643323829593,4.53157618452802e-70,2.25269687217537e-67,44.6198604590731,-17.6956271082013
"novel_gene_NC_056016.1_20098",0.985961771143395,4.04550180698736,17.6564450677477,2.46953971113455e-69,1.20094789865391e-66,52.7507240207804,17.5998553907757
"Ccdc82",1.35602440642813,3.88023109436507,17.3985725625656,1.48460562336725e-65,7.06609102015434e-63,41.8601775020243,17.099977909307
"novel_gene_NC_056016.1_6801",-3.81479841236526,4.51156550703293,-17.0991706463912,9.59378380119305e-65,4.47110299234768e-62,44.9592219802392,-16.9908806792426
"LOC121823382",2.73679885549717,1.84638788144893,17.5544631880014,5.497529098038e-64,2.50979032496143e-61,44.9568764760599,16.8881772898578
"LOC102908853",1.56494314895614,2.03944399085001,17.1728231314867,8.71106276400792e-62,3.89732948061714e-59,42.824274727607,16.5866026014947
"Pan2",0.812388762947749,5.86429197651685,16.4950955907299,8.33480217457908e-61,3.65587303226145e-58,42.0931130851039,16.4503768586319
"LOC121821275",-2.58127614647554,0.409489726618358,-16.9094373354405,1.10391177951812e-60,4.74894355919624e-58,48.3881424579445,-16.4333485445571
"novel_gene_NC_056031.1_2574",-2.43334991128971,0.227208815511144,-17.1881692493568,6.80015082575762e-60,2.87017686739996e-57,44.7069047195387,-16.3227504331016
"LOC121830818",-4.52316612698359,2.39188448084096,-16.4593151874816,3.61402370736986e-59,1.49714278396044e-56,46.1645179832729,-16.2204727342852
"Vpreb1",-2.06656701965017,0.175845815984266,-16.5143609144765,1.23104246984694e-58,5.00698546372292e-56,50.9536475398382,-16.145022182896
"Nnat",-2.04482516866145,2.80658563019839,-16.2118581845022,1.38875859673181e-58,5.54759460873048e-56,49.90566203557,-16.1375821730236
"LOC102926266",1.68838530024431,4.46986272626404,16.4027598124606,8.2063814962242e-58,3.22064480825501e-55,37.8895058548092,16.0275430193587
"Galns",-1.90508283623289,6.7163665676161,-15.9563705415022,6.64462094095929e-57,2.56276155946999e-54,38.7346378008818,-15.8970249231169
"LOC102926073",1.56915627804381,2.44686378000509,16.4813683525459,8.93672424343349e-57,3.38838171738317e-54,39.4466719105972,15.8784444854352
"Mettl7a",2.66622253232056,2.81822163307656,16.115198729297,5.39080163748074e-56,2.00987054384074e-53,40.2098484933341,15.7653090126582
"LOC102928417",3.60776749158735,1.35883696919552,16.3708224574244,3.09516583496751e-55,1.13506327423317e-52,42.5025103776664,15.6545040699742
"Stk25",0.861831274576803,5.7073687943318,15.6788867520588,3.62659014293497e-55,1.3084971209267e-52,40.5038790216471,15.64441988019
