"","Gene_ID","Pman_GeneID","P_maniculatus_attr","M_musculus_attr","EP_strain_logFC","EP_strain_adj_P.Val","EP_strain_SIG","diffexpressed_EP","LP_strain_logFC","LP_strain_adj_P.Val","LP_strain_SIG","diffexpressed_LP","Quadrant"
"1","LOC102913622","FEZ2","LOW QUALITY PROTEIN: fasciculation and elongation protein zeta-2-like","Fasciculation and elongation protein zeta-2",4.2039349960847,1.95869982312485e-191,"SIG","UP",3.60627531644035,2.55831054051126e-96,"SIG","UP","Up-Up"
"2","LOC102906033","RPS13","40S ribosomal protein S13-like","Small ribosomal subunit protein uS15",4.56298585763863,4.01593495860454e-190,"SIG","UP",2.25271705935596,2.25475431334717e-26,"SIG","UP","Up-Up"
"3","LOC102928213","RPLP0","60S acidic ribosomal protein P0-like","Large ribosomal subunit protein uL10",3.48920094820076,7.4946210346993e-163,"SIG","UP",1.97830085933713,7.72372511941281e-115,"SIG","UP","Up-Up"
"4","LOC102913928","PPIase A","Peptidyl-prolyl cis-trans isomerase","Peptidyl-prolyl cis-trans isomerase A",6.128386409698,3.56507308498555e-136,"SIG","UP",3.37833910799515,9.79225857090408e-122,"SIG","UP","Up-Up"
"5","LOC102905546","OSF-3","peroxiredoxin-1-like","Peroxiredoxin-1",3.14811046714345,6.51826087734166e-87,"SIG","UP",0.332344263056148,0.00029757325195242,"SIG","UP","NA"
"6","LOC102924108","RPS13","40S ribosomal protein S13-like","Small ribosomal subunit protein uS15",2.69095597762188,2.07168971573616e-85,"SIG","UP",2.27760674873362,2.55576614649129e-82,"SIG","UP","Up-Up"
"7","LOC102926073","LOC102926073","peptidyl-prolyl cis-trans isomerase A-like","NA",2.97061057667111,4.27045461296167e-60,"SIG","UP",1.56915627804381,3.38838171738317e-54,"SIG","UP","Up-Up"
"8","LOC102915711","RPL27A","60S ribosomal protein L27a-like","NA",2.53629412160862,6.76187822594571e-59,"SIG","UP",4.56847253382073,3.31986249792125e-16,"SIG","UP","Up-Up"
"9","Mettl24","Mettl24","NA","Probable methyltransferase-like protein 24",2.20972567398027,1.33399517224656e-56,"SIG","UP",1.49461870814588,5.20341089247362e-108,"SIG","UP","Up-Up"
"10","novel_gene_NC_056010.1_37714","novel_gene_NC_056010.1_37714","NA","NA",4.13061832403646,6.93292691718225e-56,"SIG","UP",1.95928061788865,8.00595917519884e-45,"SIG","UP","Up-Up"
"11","LOC102920302","RPS7","LOW QUALITY PROTEIN: uncharacterized protein LOC102920302","NA",3.3910956754841,7.60018933301365e-54,"SIG","UP",0.723553714283804,3.58185329981056e-25,"SIG","UP","Up-Up"
